time,frequency,confidence
0.000,183.222,0.279121
0.010,181.658,0.524689
0.020,181.029,0.739307
0.030,59.876,0.810436
0.040,59.771,0.812394
0.050,59.442,0.754373
0.060,58.859,0.715478
0.070,177.294,0.689372
0.080,179.993,0.611813
0.090,182.420,0.736697
0.100,182.996,0.669710
0.110,183.341,0.653924
0.120,182.169,0.599420
0.130,59.820,0.732337
0.140,59.764,0.869549
0.150,59.968,0.847070
0.160,60.496,0.718686
0.170,60.074,0.579521
0.180,180.196,0.583217
0.190,179.882,0.642025
0.200,59.793,0.717381
0.210,59.894,0.818833
0.220,59.831,0.726194
0.230,59.895,0.839759
0.240,59.923,0.738858
0.250,178.906,0.621423
0.260,178.584,0.616750
0.270,178.509,0.763364
0.280,179.151,0.757694
0.290,179.916,0.655557
0.300,181.145,0.687618
0.310,181.324,0.586382
0.320,181.141,0.632962
0.330,180.091,0.627796
0.340,179.978,0.558524
0.350,180.399,0.563376
0.360,180.950,0.599371
0.370,180.497,0.576910
0.380,60.193,0.585143
0.390,60.154,0.777683
0.400,60.161,0.792274
0.410,60.122,0.802426
0.420,59.920,0.616454
0.430,59.664,0.669501
0.440,59.516,0.687537
0.450,59.450,0.567265
0.460,59.329,0.684780
0.470,177.954,0.723949
0.480,179.629,0.674895
0.490,60.312,0.581562
0.500,60.278,0.768253
0.510,60.176,0.686359
0.520,181.675,0.646454
0.530,181.557,0.627336
0.540,181.798,0.692378
0.550,180.995,0.710000
0.560,180.364,0.661307
0.570,180.987,0.675616
0.580,181.449,0.662930
0.590,181.851,0.725310
0.600,182.173,0.706641
0.610,182.598,0.714102
0.620,181.693,0.735511
0.630,179.508,0.690704
0.640,178.958,0.709306
0.650,180.259,0.737885
0.660,182.610,0.785419
0.670,182.343,0.717342
0.680,181.241,0.676095
0.690,179.811,0.770992
0.700,179.681,0.811498
0.710,180.129,0.759595
0.720,180.063,0.846712
0.730,179.673,0.816355
0.740,179.965,0.805556
0.750,59.919,0.782251
0.760,60.163,0.835673
0.770,60.072,0.801516
0.780,60.096,0.840845
0.790,59.944,0.846569
0.800,60.058,0.857178
0.810,60.106,0.844478
0.820,59.836,0.817977
0.830,59.621,0.821978
0.840,59.694,0.763440
0.850,60.085,0.648536
0.860,60.293,0.603108
0.870,60.115,0.590876
0.880,179.994,0.723498
0.890,178.625,0.771009
0.900,177.563,0.776637
0.910,177.048,0.669063
0.920,177.434,0.735600
0.930,177.658,0.731200
0.940,177.857,0.727250
0.950,178.758,0.693562
0.960,179.109,0.707265
0.970,178.550,0.777099
0.980,177.776,0.812614
0.990,177.612,0.843584
1.000,178.062,0.820361
1.010,177.896,0.822963
1.020,178.151,0.809931
1.030,177.062,0.805747
1.040,177.638,0.802156
1.050,178.310,0.789010
1.060,179.189,0.792506
1.070,179.179,0.804699
1.080,178.498,0.791005
1.090,177.785,0.790506
1.100,178.161,0.795435
1.110,179.020,0.733198
1.120,179.078,0.755560
1.130,177.591,0.711586
1.140,177.438,0.786230
1.150,177.505,0.813075
1.160,178.463,0.740009
1.170,179.571,0.819357
1.180,180.346,0.783588
1.190,180.656,0.776100
1.200,181.032,0.740854
1.210,182.553,0.725404
1.220,182.003,0.740675
1.230,60.136,0.709229
1.240,60.105,0.649454
1.250,60.126,0.388167
1.260,179.316,0.356706
1.270,179.344,0.535671
1.280,180.778,0.704190
1.290,181.131,0.719193
1.300,181.198,0.664768
1.310,181.263,0.597801
1.320,60.014,0.682769
1.330,59.878,0.651599
1.340,59.564,0.675868
