time,frequency,confidence
0.000,1970.723,0.020961
0.010,33.527,0.025735
0.020,33.650,0.053199
0.030,1963.534,0.031666
0.040,33.203,0.041826
0.050,32.893,0.032440
0.060,32.831,0.147563
0.070,32.867,0.225578
0.080,34.661,0.018217
0.090,56.094,0.012035
0.100,1846.575,0.026153
0.110,34.386,0.161136
0.120,934.116,0.044469
0.130,39.058,0.147769
0.140,39.262,0.052751
0.150,32.094,0.023859
0.160,32.085,0.042112
0.170,54.467,0.026263
0.180,54.707,0.039058
0.190,55.653,0.041350
0.200,56.150,0.022073
0.210,1297.133,0.021375
0.220,1229.376,0.016365
0.230,1789.456,0.033521
0.240,1803.424,0.011994
0.250,1794.825,0.007303
0.260,1734.122,0.008708
0.270,32.297,0.020494
0.280,32.317,0.016855
0.290,51.604,0.019803
0.300,49.126,0.015957
0.310,32.257,0.004611
0.320,32.725,0.005007
0.330,33.044,0.028343
0.340,1959.254,0.012932
0.350,32.127,0.007889
0.360,32.319,0.012376
0.370,32.335,0.023925
0.380,32.059,0.048193
0.390,929.673,0.009875
0.400,934.157,0.019666
0.410,1235.569,0.015005
0.420,1238.141,0.012596
0.430,1243.538,0.029406
0.440,1317.053,0.041250
0.450,35.015,0.053076
0.460,35.413,0.270105
0.470,35.587,0.141327
0.480,48.059,0.050598
0.490,46.814,0.146519
0.500,47.275,0.146826
0.510,39.487,0.046468
0.520,1225.279,0.034429
0.530,1877.333,0.034247
0.540,1968.911,0.021729
0.550,46.753,0.021967
0.560,860.039,0.016528
0.570,33.133,0.011452
0.580,44.318,0.154602
0.590,44.283,0.053618
0.600,44.310,0.288908
0.610,44.985,0.013520
0.620,33.067,0.006254
0.630,33.066,0.033019
0.640,32.495,0.011136
0.650,32.418,0.004328
0.660,33.344,0.005217
0.670,32.378,0.007799
0.680,32.214,0.009876
0.690,32.344,0.013966
0.700,82.149,0.017571
0.710,32.234,0.015925
0.720,44.148,0.019699
0.730,44.618,0.025402
0.740,44.921,0.024982
0.750,44.742,0.011787
0.760,39.345,0.017496
0.770,38.463,0.031233
0.780,39.096,0.027506
0.790,39.344,0.013423
0.800,1781.238,0.005023
0.810,1340.089,0.007489
0.820,883.553,0.010075
0.830,99.002,0.085735
0.840,32.866,0.047672
0.850,33.268,0.069295
0.860,38.862,0.016703
0.870,38.614,0.014379
0.880,880.044,0.011472
0.890,980.612,0.005365
0.900,1005.168,0.008593
0.910,1875.715,0.009419
0.920,70.164,0.013458
0.930,1332.041,0.006338
0.940,1333.041,0.008508
0.950,881.042,0.019332
0.960,49.111,0.034674
0.970,48.830,0.097096
0.980,48.956,0.054299
0.990,32.197,0.037320
1.000,32.336,0.022074
1.010,35.382,0.040511
1.020,34.776,0.015735
1.030,931.344,0.024655
1.040,1839.550,0.017250
1.050,33.865,0.018797
1.060,1232.088,0.020282
1.070,1877.854,0.031327
1.080,1215.138,0.025870
1.090,32.443,0.030646
1.100,35.385,0.032549
1.110,35.609,0.132340
1.120,35.941,0.033335
1.130,32.432,0.025281
1.140,884.742,0.026119
1.150,32.309,0.009762
1.160,32.689,0.006127
1.170,44.363,0.015857
1.180,1215.722,0.009276
1.190,995.448,0.017233
1.200,1118.490,0.051797
1.210,988.519,0.023515
1.220,1327.690,0.033023
1.230,1406.607,0.025893
1.240,83.030,0.023306
1.250,1337.222,0.012508
1.260,1332.616,0.036478
1.270,32.186,0.011585
1.280,1324.591,0.007811
1.290,1442.301,0.011292
1.300,1404.667,0.018832
1.310,1402.897,0.030529
1.320,34.113,0.043609
1.330,33.881,0.041850
1.340,33.639,0.025292
1.350,1874.409,0.034453
1.360,1872.142,0.012987
1.370,33.290,0.016652
1.380,33.597,0.010359
1.390,33.116,0.003669
1.400,33.018,0.004244
1.410,32.467,0.021906
1.420,1175.003,0.014538
1.430,1173.274,0.016464
1.440,1853.373,0.011418
1.450,35.052,0.063087
1.460,35.379,0.012157
1.470,1323.034,0.019210
1.480,1329.734,0.021282
1.490,1712.378,0.013930
1.500,1844.729,0.007644
1.510,1826.684,0.006637
1.520,1817.534,0.021684
1.530,34.882,0.089943
1.540,34.711,0.100799
1.550,32.355,0.003845
1.560,1826.648,0.003558
1.570,1803.131,0.009505
1.580,1819.684,0.007533
1.590,53.655,0.005181
1.600,32.389,0.046555
1.610,32.607,0.015344
1.620,1974.243,0.020658
1.630,966.923,0.028282
1.640,1970.385,0.024913
1.650,1877.057,0.019991
1.660,1730.958,0.026996
1.670,1714.516,0.024774
1.680,1841.534,0.004621
1.690,44.887,0.030932
1.700,866.390,0.012916
1.710,930.207,0.040779
1.720,919.617,0.049101
1.730,1771.491,0.077368
1.740,308.854,0.100419
1.750,43.829,0.058249
1.760,1854.897,0.048318
1.770,33.186,0.031482
1.780,1842.648,0.032493
1.790,35.304,0.024252
1.800,35.402,0.022059
1.810,48.800,0.040454
1.820,47.475,0.007591
1.830,32.650,0.073810
1.840,32.681,0.017300
1.850,38.971,0.012082
1.860,1185.170,0.013581
1.870,167.035,0.084927
1.880,164.275,0.082408
1.890,1178.580,0.028358
1.900,1839.989,0.020190
1.910,1844.235,0.019977
1.920,32.360,0.013638
1.930,32.279,0.008250
1.940,36.254,0.011672
1.950,35.775,0.027305
1.960,42.265,0.005106
1.970,32.271,0.007817
1.980,1877.583,0.015926
1.990,32.620,0.088262
2.000,32.878,0.047612
2.010,1971.148,0.065249
2.020,987.232,0.047667
2.030,1972.174,0.029719
2.040,33.084,0.143291
2.050,871.326,0.050983
2.060,884.126,0.020174
2.070,889.651,0.010463
2.080,1241.494,0.019283
2.090,1241.443,0.010873
2.100,32.200,0.020656
2.110,32.280,0.012965
2.120,32.277,0.034215
2.130,32.948,0.015404
2.140,33.299,0.014695
2.150,38.556,0.027082
2.160,32.887,0.057767
2.170,32.194,0.027978
2.180,939.736,0.010370
2.190,33.687,0.013330
2.200,34.394,0.037242
2.210,34.524,0.015656
2.220,1185.273,0.040891
2.230,1978.154,0.026779
2.240,1001.770,0.013614
2.250,986.799,0.010621
2.260,987.367,0.006804
2.270,42.000,0.012364
2.280,986.208,0.009278
2.290,1432.179,0.013151
2.300,1321.955,0.008260
2.310,275.914,0.019679
2.320,274.438,0.008521
2.330,1151.427,0.004551
2.340,51.300,0.007795
2.350,1315.251,0.015928
2.360,53.610,0.006418
2.370,33.545,0.033795
2.380,33.762,0.091664
2.390,33.843,0.020200
2.400,41.496,0.037140
2.410,33.181,0.088271
2.420,33.309,0.063181
2.430,33.458,0.060455
2.440,33.307,0.050164
2.450,811.496,0.023762
2.460,1228.535,0.040555
2.470,33.576,0.010898
2.480,33.466,0.039889
2.490,33.048,0.037733
2.500,32.624,0.023864
2.510,46.322,0.050335
2.520,46.616,0.127836
2.530,333.070,0.018696
2.540,1687.318,0.015890
2.550,1765.361,0.018232
2.560,1813.014,0.015005
2.570,1719.788,0.008683
2.580,34.993,0.011295
2.590,34.995,0.007690
2.600,1220.207,0.006440
2.610,1237.265,0.021046
2.620,32.281,0.035362
2.630,32.239,0.022090
2.640,32.913,0.014544
2.650,32.585,0.109764
2.660,32.513,0.048835
2.670,32.410,0.003861
2.680,34.889,0.011242
2.690,32.251,0.015137
2.700,32.179,0.016389
2.710,35.414,0.005577
2.720,33.140,0.015164
2.730,32.848,0.020601
2.740,32.480,0.025795
2.750,54.520,0.033705
2.760,34.228,0.089848
2.770,34.262,0.072142
2.780,33.536,0.008870
2.790,33.537,0.053942
2.800,965.836,0.049719
2.810,951.980,0.048130
2.820,36.441,0.147719
2.830,1845.605,0.007201
2.840,886.184,0.001732
2.850,1320.111,0.004673
2.860,1325.697,0.009908
2.870,33.471,0.048627
2.880,33.619,0.037717
2.890,34.662,0.021507
2.900,34.472,0.006246
2.910,40.502,0.014479
2.920,949.245,0.028647
2.930,943.069,0.019634
2.940,34.804,0.025930
2.950,34.391,0.222122
2.960,34.548,0.058300
2.970,39.873,0.034536
2.980,32.097,0.011811
2.990,79.826,0.013016
3.000,37.740,0.013690
3.010,35.926,0.033150
3.020,1980.208,0.018041
3.030,994.208,0.013021
3.040,1969.775,0.020981
3.050,1972.095,0.021267
3.060,1787.361,0.008882
3.070,1786.704,0.010295
3.080,1762.059,0.017912
3.090,1754.545,0.102094
3.100,49.186,0.015626
3.110,1031.909,0.026985
3.120,1163.576,0.067253
3.130,1165.754,0.019806
3.140,42.077,0.010493
3.150,1843.144,0.002707
3.160,1166.863,0.003793
3.170,1167.157,0.009538
3.180,1021.417,0.023051
3.190,35.556,0.053045
