time,frequency,confidence
0.000,1317.196,0.063068
0.010,1317.200,0.019894
0.020,1759.419,0.026954
0.030,1752.754,0.014557
0.040,1390.668,0.020618
0.050,1396.318,0.036143
0.060,247.679,0.022808
0.070,1195.662,0.031841
0.080,1972.669,0.044500
0.090,1312.348,0.021456
0.100,1317.970,0.018196
0.110,1328.251,0.036687
0.120,1338.842,0.016671
0.130,1310.121,0.022648
0.140,1338.888,0.055761
0.150,1973.320,0.052667
0.160,1976.805,0.059938
0.170,1973.491,0.041383
0.180,1975.095,0.039032
0.190,1975.237,0.091979
0.200,1978.329,0.062427
0.210,1976.638,0.020473
0.220,1758.104,0.024461
0.230,175.572,0.021826
0.240,177.118,0.022301
0.250,1440.671,0.017773
0.260,1967.842,0.015359
0.270,1965.541,0.024400
0.280,1969.500,0.037520
0.290,1007.482,0.051995
0.300,1972.942,0.025941
0.310,198.277,0.040452
0.320,198.421,0.030052
0.330,998.207,0.023828
0.340,881.665,0.014609
0.350,1975.439,0.016544
0.360,1326.904,0.010287
0.370,1029.580,0.005518
0.380,1681.755,0.011591
0.390,1113.510,0.053220
0.400,1113.116,0.057303
0.410,1129.763,0.062824
0.420,1818.328,0.030270
0.430,1971.798,0.016623
0.440,1830.924,0.013126
0.450,887.835,0.024612
0.460,887.835,0.027042
0.470,885.093,0.013520
0.480,890.817,0.017770
0.490,1798.418,0.032832
0.500,1977.518,0.028368
0.510,1004.811,0.014085
0.520,39.799,0.013206
0.530,892.148,0.010822
0.540,1852.397,0.008898
0.550,1875.338,0.005758
0.560,1319.706,0.007529
0.570,1100.861,0.018249
0.580,32.405,0.014169
0.590,1163.395,0.014650
0.600,1273.162,0.015289
0.610,218.231,0.023461
0.620,220.701,0.020438
0.630,934.485,0.023460
0.640,987.464,0.023985
0.650,1974.380,0.021515
0.660,1324.125,0.016616
0.670,1323.877,0.031586
0.680,1319.828,0.027458
0.690,1973.315,0.048348
0.700,248.831,0.076564
0.710,1967.637,0.038944
0.720,1250.621,0.019822
0.730,1317.990,0.039379
0.740,1322.232,0.013188
0.750,138.065,0.009855
0.760,888.689,0.005199
0.770,1237.441,0.012572
0.780,1321.236,0.017465
0.790,1310.451,0.032741
0.800,1298.404,0.018380
0.810,330.653,0.020902
0.820,332.456,0.010518
0.830,332.329,0.011603
0.840,332.546,0.021871
0.850,1964.879,0.012683
0.860,1316.713,0.011303
0.870,1317.164,0.029510
0.880,1322.017,0.020943
0.890,1969.607,0.033162
0.900,1976.507,0.057740
0.910,1324.082,0.031391
0.920,1325.701,0.023931
0.930,964.401,0.015499
0.940,1863.634,0.020727
0.950,1875.164,0.048895
0.960,1958.026,0.067258
0.970,1975.584,0.057743
0.980,989.532,0.055571
0.990,999.403,0.040067
1.000,1005.304,0.016207
1.010,359.507,0.025067
1.020,354.590,0.009783
1.030,1841.995,0.020438
1.040,333.271,0.051737
1.050,1972.067,0.042727
1.060,1970.946,0.017132
1.070,1969.817,0.031606
1.080,1317.467,0.041943
1.090,1321.454,0.040794
1.100,1324.053,0.026570
1.110,1323.558,0.018989
1.120,32.538,0.014868
1.130,32.165,0.039154
1.140,32.138,0.030675
1.150,1925.226,0.016317
1.160,1852.392,0.026950
1.170,1844.121,0.052529
1.180,1838.393,0.017721
1.190,1847.066,0.012412
1.200,1292.553,0.029766
1.210,1289.202,0.018254
1.220,1313.930,0.012987
1.230,970.351,0.004194
1.240,1894.932,0.010229
1.250,1859.090,0.022160
1.260,1972.365,0.036010
1.270,1976.423,0.038052
1.280,1971.726,0.030284
1.290,1964.861,0.023705
1.300,1029.493,0.020950
1.310,1027.843,0.015997
1.320,951.987,0.022772
1.330,1022.218,0.023696
1.340,1459.010,0.029315
1.350,349.793,0.029474
1.360,1444.003,0.018036
1.370,233.671,0.045872
1.380,890.261,0.035802
1.390,46.580,0.070840
1.400,1019.614,0.033882
1.410,990.572,0.017064
1.420,949.253,0.022714
1.430,987.226,0.024402
1.440,1317.664,0.025187
1.450,1005.848,0.018726
1.460,991.512,0.009105
1.470,1327.253,0.012848
1.480,1325.341,0.037372
1.490,335.881,0.057589
1.500,330.820,0.093532
1.510,330.151,0.107212
1.520,1972.444,0.060281
1.530,329.266,0.118544
1.540,924.129,0.017376
1.550,889.905,0.012433
1.560,1847.860,0.022181
1.570,333.660,0.031241
1.580,934.669,0.017827
1.590,1322.468,0.022962
1.600,1185.178,0.027694
1.610,1248.348,0.035526
1.620,356.532,0.022635
1.630,1182.360,0.033018
1.640,1876.219,0.031029
1.650,1873.149,0.032190
1.660,1234.517,0.029787
1.670,1236.434,0.017304
1.680,1117.599,0.020609
1.690,1114.618,0.013254
1.700,1110.220,0.018304
1.710,162.800,0.028475
1.720,1825.294,0.020010
1.730,1807.623,0.018009
1.740,1785.526,0.016123
1.750,980.172,0.014507
1.760,1021.212,0.038027
1.770,1969.172,0.033345
1.780,1888.479,0.008530
1.790,1872.173,0.021128
1.800,1898.916,0.081365
1.810,1935.624,0.036464
1.820,324.101,0.066320
1.830,1871.334,0.020508
1.840,1249.106,0.021565
1.850,1903.830,0.017139
1.860,1190.106,0.043271
1.870,1953.985,0.030162
1.880,1956.448,0.028130
1.890,1786.208,0.024929
1.900,967.640,0.019749
1.910,1785.931,0.020162
1.920,1973.554,0.034487
1.930,937.911,0.019300
1.940,935.966,0.034814
1.950,943.228,0.022279
1.960,1965.973,0.016039
1.970,1971.431,0.010368
1.980,252.507,0.014771
1.990,1116.075,0.029403
2.000,1155.031,0.041885
2.010,1172.819,0.041054
2.020,1203.478,0.034806
2.030,1216.590,0.033523
2.040,48.676,0.056204
2.050,48.812,0.115066
2.060,49.168,0.079284
2.070,49.154,0.027476
2.080,1758.275,0.016167
2.090,948.656,0.012861
2.100,952.485,0.011356
2.110,949.733,0.014579
2.120,984.095,0.011332
2.130,32.195,0.006158
2.140,1973.570,0.015703
2.150,1976.595,0.014705
2.160,1962.668,0.005286
2.170,1873.763,0.034759
2.180,1856.979,0.055261
2.190,1964.737,0.017054
2.200,1968.999,0.026790
2.210,990.640,0.046838
2.220,992.743,0.029426
2.230,1965.782,0.013567
2.240,1443.101,0.008522
2.250,1321.672,0.007636
2.260,262.127,0.010345
2.270,1852.345,0.024373
2.280,1967.039,0.029002
2.290,1971.871,0.042132
2.300,1970.086,0.030507
2.310,1966.127,0.023129
2.320,282.775,0.024315
2.330,280.653,0.118134
2.340,283.585,0.055335
2.350,292.847,0.026315
2.360,1973.956,0.025192
2.370,1971.063,0.030011
2.380,48.013,0.006991
2.390,1964.826,0.026492
2.400,1318.006,0.078761
2.410,1318.133,0.109653
2.420,1322.220,0.126939
2.430,1331.765,0.018915
2.440,1197.949,0.017101
2.450,1964.571,0.012112
2.460,360.202,0.025423
2.470,1902.240,0.037207
2.480,1881.356,0.056169
2.490,1877.518,0.044517
2.500,1856.486,0.030138
2.510,1968.076,0.031515
2.520,1894.429,0.019867
2.530,1966.089,0.017929
2.540,1876.752,0.022444
2.550,1183.377,0.034206
2.560,1212.138,0.015724
2.570,1841.080,0.013671
2.580,1322.474,0.022165
2.590,1976.589,0.020015
2.600,1964.977,0.019337
2.610,1851.598,0.018098
2.620,1854.552,0.044927
2.630,1972.117,0.041671
2.640,1967.857,0.007375
2.650,1682.774,0.034801
2.660,1692.103,0.028603
2.670,1727.858,0.033936
2.680,1977.705,0.013111
2.690,1756.764,0.032926
2.700,1768.507,0.043908
2.710,1965.407,0.033154
2.720,1953.834,0.043793
2.730,290.523,0.035528
2.740,1314.390,0.023358
2.750,1968.487,0.013531
2.760,32.877,0.022844
2.770,39.359,0.010876
2.780,1885.074,0.014836
2.790,1845.484,0.022558
2.800,1810.115,0.008632
2.810,1783.557,0.029776
2.820,1224.280,0.016011
2.830,1759.435,0.024970
2.840,1765.260,0.027899
2.850,1758.180,0.041693
2.860,977.789,0.020331
2.870,333.522,0.044220
2.880,952.553,0.010705
2.890,1672.979,0.018543
2.900,1766.232,0.019035
2.910,1163.188,0.027405
2.920,276.561,0.016523
2.930,885.135,0.020635
2.940,77.736,0.046715
2.950,1200.206,0.024451
2.960,1844.417,0.032506
2.970,1965.720,0.029130
2.980,1901.966,0.020002
2.990,1438.189,0.020692
3.000,1785.809,0.027196
3.010,1396.746,0.016952
3.020,1405.361,0.014125
3.030,954.862,0.013729
3.040,954.685,0.010810
3.050,1965.130,0.014802
3.060,1968.954,0.025947
3.070,203.195,0.017568
3.080,202.845,0.039111
3.090,995.927,0.035411
3.100,1025.865,0.011918
3.110,1029.785,0.020476
3.120,32.584,0.023264
3.130,884.157,0.015077
3.140,1330.171,0.018051
3.150,32.255,0.013976
3.160,1969.213,0.015046
3.170,1020.888,0.025221
3.180,1003.108,0.018238
3.190,454.972,0.010931
3.200,1379.908,0.008454
3.210,987.142,0.011840
3.220,989.458,0.009584
3.230,997.183,0.014757
3.240,1178.719,0.006612
3.250,1018.992,0.019471
3.260,1323.548,0.019592
3.270,1970.593,0.017347
3.280,970.597,0.034166
3.290,1931.684,0.026469
3.300,966.842,0.015006
3.310,966.721,0.024929
3.320,399.867,0.019781
3.330,951.812,0.013282
3.340,986.039,0.026745
3.350,988.718,0.024976
3.360,989.304,0.022910
3.370,990.254,0.020607
3.380,949.795,0.014144
3.390,950.082,0.038195
3.400,1963.232,0.026249
3.410,1446.390,0.015338
3.420,1168.320,0.005519
3.430,1214.230,0.015621
3.440,1320.743,0.013052
3.450,1845.440,0.015366
3.460,1968.421,0.012260
3.470,1967.181,0.007959
3.480,219.308,0.010471
3.490,220.778,0.016447
3.500,1341.130,0.017828
3.510,330.602,0.036589
3.520,331.360,0.043926
3.530,331.722,0.017169
3.540,1966.247,0.014026
3.550,1962.887,0.009675
3.560,201.701,0.026547
3.570,1236.145,0.010847
3.580,1965.591,0.018129
3.590,1970.944,0.031596
3.600,1976.276,0.029978
3.610,1317.351,0.040063
3.620,1317.489,0.026469
3.630,32.227,0.015365
3.640,32.234,0.011413
3.650,1165.807,0.008578
3.660,984.298,0.014507
3.670,941.035,0.021536
3.680,1885.246,0.046930
3.690,1875.118,0.042986
3.700,1972.500,0.035768
3.710,1972.765,0.035250
