time,frequency,confidence
0.000,589.408,0.044107
0.010,623.257,0.049804
0.020,634.280,0.089924
0.030,108.558,0.046608
0.040,108.706,0.031169
0.050,55.665,0.015314
0.060,114.258,0.098485
0.070,115.076,0.184650
0.080,115.335,0.263516
0.090,116.859,0.606663
0.100,116.566,0.701858
0.110,116.447,0.685523
0.120,116.716,0.589596
0.130,116.990,0.582946
0.140,117.304,0.618979
0.150,117.197,0.622436
0.160,118.262,0.567231
0.170,118.254,0.579175
0.180,118.024,0.777969
0.190,117.777,0.816707
0.200,118.132,0.726757
0.210,118.513,0.697258
0.220,118.209,0.798368
0.230,118.174,0.808731
0.240,118.153,0.792411
0.250,117.830,0.810594
0.260,117.919,0.856898
0.270,117.679,0.856405
0.280,117.668,0.875024
0.290,117.987,0.883151
0.300,117.956,0.863592
0.310,117.667,0.852155
0.320,117.573,0.865499
0.330,117.443,0.885010
0.340,117.428,0.855921
0.350,117.599,0.844691
0.360,117.443,0.837032
0.370,117.506,0.823449
0.380,117.394,0.832616
0.390,117.032,0.883225
0.400,116.819,0.890052
0.410,116.787,0.840454
0.420,116.610,0.769358
0.430,116.727,0.793617
0.440,116.763,0.799733
0.450,116.685,0.694131
0.460,116.656,0.428085
0.470,116.030,0.690046
0.480,115.480,0.787078
0.490,115.462,0.839718
0.500,115.324,0.825659
0.510,115.242,0.835235
0.520,115.211,0.849392
0.530,114.907,0.800106
0.540,114.454,0.766212
0.550,113.193,0.756857
0.560,112.557,0.779479
0.570,111.747,0.811093
0.580,111.244,0.789609
0.590,111.152,0.831588
0.600,110.763,0.868463
0.610,110.285,0.887127
0.620,110.020,0.848784
0.630,110.015,0.821556
0.640,109.889,0.778897
0.650,109.815,0.779565
0.660,109.667,0.713562
0.670,108.839,0.579760
0.680,107.372,0.537169
0.690,107.210,0.556240
0.700,107.232,0.593622
0.710,106.135,0.674396
0.720,105.678,0.705717
0.730,105.668,0.705325
0.740,105.632,0.716281
0.750,105.496,0.684589
0.760,105.429,0.682055
0.770,105.314,0.693949
0.780,104.855,0.728413
0.790,104.549,0.770519
0.800,104.581,0.752660
0.810,104.619,0.715098
0.820,104.475,0.656129
0.830,104.390,0.549599
0.840,104.383,0.587658
0.850,104.658,0.654848
0.860,104.485,0.675539
0.870,104.247,0.704204
0.880,104.277,0.760760
0.890,104.324,0.766545
0.900,104.520,0.694457
0.910,105.062,0.688863
0.920,104.464,0.714251
0.930,103.996,0.715343
0.940,104.275,0.718579
0.950,104.350,0.748118
0.960,104.556,0.739880
0.970,104.489,0.736515
0.980,104.632,0.673964
0.990,104.876,0.667431
1.000,104.836,0.697297
1.010,104.686,0.662347
1.020,104.937,0.663185
1.030,105.098,0.696497
1.040,104.909,0.766310
1.050,104.665,0.780445
1.060,104.830,0.758038
1.070,105.154,0.706539
1.080,104.920,0.665614
1.090,104.761,0.699280
1.100,104.678,0.754714
1.110,104.695,0.760181
1.120,104.560,0.782023
1.130,104.619,0.792884
1.140,104.636,0.809806
1.150,104.580,0.816579
1.160,104.584,0.742639
1.170,104.417,0.579941
1.180,104.479,0.708545
1.190,104.633,0.761865
1.200,104.483,0.783613
1.210,104.242,0.770591
1.220,104.361,0.779420
1.230,104.170,0.826510
1.240,104.160,0.792247
1.250,104.140,0.718186
1.260,104.622,0.766978
1.270,104.675,0.807371
1.280,104.277,0.798158
1.290,103.979,0.829930
1.300,103.985,0.848656
1.310,104.302,0.833216
1.320,104.376,0.814915
1.330,104.546,0.796040
1.340,104.577,0.773145
1.350,104.906,0.735504
1.360,105.134,0.752989
1.370,104.892,0.782121
1.380,104.879,0.784235
1.390,104.521,0.835041
1.400,104.373,0.855294
1.410,103.973,0.879656
1.420,103.998,0.871196
1.430,104.116,0.847633
1.440,104.081,0.834127
1.450,104.077,0.829725
1.460,104.159,0.826443
1.470,104.139,0.808061
1.480,104.209,0.839619
1.490,104.405,0.841754
1.500,104.299,0.826979
1.510,103.931,0.873640
1.520,103.884,0.873770
1.530,103.821,0.856042
1.540,103.921,0.862401
1.550,104.008,0.876920
1.560,103.943,0.872321
1.570,104.013,0.860295
1.580,104.009,0.854710
1.590,104.136,0.854405
1.600,104.186,0.856138
1.610,104.240,0.865579
1.620,104.142,0.872061
1.630,104.063,0.850376
1.640,104.178,0.837306
1.650,104.236,0.840986
1.660,104.147,0.822884
1.670,104.136,0.807387
