time,frequency,confidence
0.000,179.726,0.066531
0.010,180.125,0.067072
0.020,180.338,0.329639
0.030,181.084,0.406239
0.040,180.387,0.619326
0.050,179.697,0.800278
0.060,179.112,0.834654
0.070,179.330,0.847256
0.080,180.133,0.748874
0.090,179.734,0.775702
0.100,179.373,0.776989
0.110,178.833,0.641438
0.120,179.541,0.544224
0.130,179.608,0.500729
0.140,179.938,0.392766
0.150,180.127,0.317814
0.160,179.825,0.198298
0.170,180.917,0.047108
0.180,179.755,0.056697
0.190,98.003,0.057625
0.200,540.209,0.020553
0.210,545.590,0.065961
0.220,45.957,0.131097
0.230,32.200,0.039571
0.240,230.549,0.020815
0.250,132.525,0.024918
0.260,132.159,0.019641
0.270,132.885,0.047735
0.280,62.208,0.028983
0.290,60.198,0.012697
0.300,279.474,0.056711
0.310,145.579,0.041865
0.320,140.542,0.311614
0.330,141.934,0.584451
0.340,144.111,0.588950
0.350,148.341,0.536741
0.360,157.052,0.357548
0.370,166.026,0.627780
0.380,176.282,0.579252
0.390,183.392,0.740354
0.400,189.314,0.805546
0.410,192.556,0.887423
0.420,193.246,0.877147
0.430,191.149,0.791052
0.440,187.624,0.728081
0.450,182.234,0.657713
0.460,174.068,0.448365
0.470,166.073,0.414460
0.480,159.021,0.378374
0.490,157.565,0.096502
0.500,1802.015,0.110415
0.510,1663.251,0.154379
0.520,139.264,0.289738
0.530,146.970,0.283871
0.540,154.428,0.461662
0.550,159.590,0.551466
0.560,163.865,0.603573
0.570,165.630,0.432580
0.580,180.976,0.207140
0.590,181.660,0.474677
0.600,184.822,0.309319
0.610,208.371,0.436008
0.620,206.607,0.648770
0.630,206.581,0.889997
0.640,207.382,0.925333
0.650,209.181,0.943049
0.660,211.013,0.966405
0.670,212.375,0.960893
0.680,212.863,0.970087
0.690,212.478,0.962933
0.700,211.022,0.966851
0.710,209.501,0.943253
0.720,208.267,0.965699
0.730,206.900,0.955444
0.740,205.892,0.974547
0.750,205.068,0.954261
0.760,204.482,0.918385
0.770,204.225,0.869877
0.780,204.028,0.882471
0.790,203.684,0.929680
0.800,203.997,0.926397
0.810,204.329,0.917514
0.820,205.078,0.896353
0.830,205.634,0.930275
0.840,206.115,0.949628
0.850,206.596,0.950386
0.860,206.902,0.949534
0.870,207.173,0.937358
0.880,207.168,0.944390
0.890,206.995,0.957478
0.900,207.020,0.956409
0.910,207.572,0.954551
0.920,207.855,0.958615
0.930,208.252,0.962587
0.940,208.494,0.959937
0.950,208.256,0.954318
0.960,208.293,0.951448
0.970,208.511,0.950975
0.980,208.819,0.950019
0.990,208.924,0.948746
1.000,209.004,0.948570
1.010,208.951,0.949721
1.020,208.755,0.953145
1.030,208.550,0.956213
1.040,207.694,0.949998
1.050,206.675,0.956343
1.060,205.826,0.959648
1.070,204.812,0.941767
1.080,203.637,0.955354
1.090,202.476,0.915020
1.100,202.152,0.922139
1.110,202.619,0.900814
1.120,203.902,0.953110
1.130,205.134,0.939988
1.140,206.636,0.955755
1.150,208.338,0.955270
1.160,209.895,0.930304
1.170,211.476,0.943829
1.180,212.495,0.950253
1.190,212.373,0.948079
1.200,211.189,0.953994
1.210,208.988,0.935254
1.220,206.517,0.931673
1.230,203.292,0.889364
1.240,199.353,0.849860
1.250,196.510,0.927056
1.260,196.035,0.939884
1.270,196.872,0.951538
1.280,198.331,0.925893
1.290,200.629,0.891032
1.300,203.587,0.925462
1.310,206.272,0.936698
1.320,209.090,0.928327
1.330,211.362,0.945769
1.340,212.608,0.953108
1.350,212.172,0.936010
1.360,210.316,0.947311
1.370,207.985,0.913938
1.380,205.139,0.890107
1.390,201.860,0.867104
1.400,198.907,0.881428
1.410,196.839,0.904593
1.420,195.819,0.867122
1.430,195.831,0.872437
1.440,196.970,0.897622
1.450,199.344,0.819971
1.460,204.008,0.834955
1.470,207.215,0.897338
1.480,209.731,0.891731
1.490,212.259,0.906254
1.500,214.412,0.883665
1.510,216.280,0.917060
1.520,216.737,0.907652
1.530,215.360,0.917941
1.540,212.859,0.903846
1.550,209.628,0.897592
1.560,207.230,0.907196
1.570,204.790,0.887587
1.580,201.758,0.801228
1.590,198.463,0.787728
1.600,195.816,0.806427
1.610,194.984,0.759245
1.620,196.552,0.368020
1.630,205.093,0.463176
1.640,206.042,0.643295
1.650,206.588,0.751789
1.660,204.945,0.824908
1.670,206.215,0.843428
1.680,207.498,0.779691
1.690,208.814,0.658508
1.700,212.470,0.475082
1.710,217.297,0.448894
1.720,216.191,0.451729
1.730,206.086,0.456988
1.740,205.347,0.783275
1.750,205.658,0.930784
1.760,206.750,0.946053
1.770,207.366,0.935099
1.780,206.879,0.925411
1.790,205.925,0.938158
1.800,204.160,0.750676
1.810,191.265,0.397295
1.820,189.648,0.485729
1.830,200.402,0.346312
1.840,203.511,0.578620
1.850,204.743,0.631084
1.860,206.769,0.529072
1.870,206.574,0.581110
1.880,206.401,0.685499
1.890,206.151,0.791383
1.900,205.586,0.679937
1.910,204.181,0.488599
1.920,198.427,0.397751
1.930,205.068,0.309068
1.940,200.817,0.294784
1.950,194.013,0.545335
1.960,194.974,0.737252
1.970,196.787,0.862532
1.980,199.695,0.871961
1.990,202.932,0.927153
2.000,204.232,0.966228
2.010,204.840,0.952071
2.020,205.305,0.951780
2.030,205.353,0.938971
2.040,204.508,0.876700
2.050,200.942,0.635253
2.060,197.273,0.493523
2.070,198.630,0.473051
2.080,202.581,0.375954
2.090,205.778,0.564758
2.100,202.697,0.436304
2.110,198.137,0.518404
2.120,207.741,0.541857
