time,frequency,confidence
0.000,183.285,0.279599
0.010,180.676,0.625403
0.020,180.508,0.724029
0.030,179.857,0.658643
0.040,60.102,0.747133
0.050,60.174,0.648171
0.060,60.201,0.761122
0.070,60.113,0.842185
0.080,59.978,0.827389
0.090,60.061,0.853832
0.100,60.200,0.853079
0.110,60.275,0.872975
0.120,60.078,0.887495
0.130,60.023,0.793950
0.140,60.177,0.802566
0.150,60.080,0.786127
0.160,60.120,0.855950
0.170,60.092,0.881850
0.180,60.085,0.849660
0.190,60.176,0.870181
0.200,60.060,0.854347
0.210,60.000,0.886207
0.220,59.836,0.849000
0.230,59.818,0.789976
0.240,60.112,0.832704
0.250,60.116,0.768746
0.260,60.086,0.796406
0.270,60.009,0.796352
0.280,60.081,0.803512
0.290,60.250,0.851249
0.300,60.211,0.807047
0.310,60.091,0.873808
0.320,59.985,0.866815
0.330,60.003,0.810594
0.340,60.146,0.791358
0.350,60.044,0.800694
0.360,60.084,0.832105
0.370,60.024,0.862873
0.380,60.123,0.835329
0.390,60.305,0.829809
0.400,60.162,0.824767
0.410,60.125,0.866841
0.420,60.013,0.893167
0.430,60.024,0.883807
0.440,60.159,0.873941
0.450,60.168,0.848021
0.460,60.138,0.857530
0.470,60.054,0.872202
0.480,60.009,0.844488
0.490,60.044,0.838780
0.500,60.011,0.804789
0.510,60.104,0.839676
0.520,60.063,0.859426
0.530,60.109,0.852671
0.540,60.152,0.854771
0.550,60.072,0.878834
0.560,60.046,0.885398
0.570,59.998,0.899839
0.580,60.134,0.840145
0.590,60.345,0.871290
0.600,60.165,0.815606
0.610,59.998,0.830361
0.620,59.937,0.801476
0.630,60.112,0.721852
0.640,60.309,0.856172
0.650,60.194,0.834732
0.660,60.058,0.885739
0.670,59.981,0.893779
0.680,59.938,0.877929
0.690,60.147,0.872892
0.700,60.117,0.876028
0.710,59.967,0.895072
0.720,59.852,0.883051
0.730,59.928,0.821357
0.740,60.128,0.832642
0.750,60.103,0.826441
0.760,60.136,0.831368
0.770,59.988,0.835310
0.780,60.080,0.751096
0.790,60.186,0.850403
0.800,60.182,0.853393
0.810,60.158,0.886044
0.820,60.118,0.874077
0.830,60.181,0.813252
0.840,60.398,0.837477
0.850,60.192,0.823764
0.860,60.065,0.877880
0.870,59.947,0.868080
0.880,60.020,0.790525
0.890,60.206,0.796669
0.900,60.068,0.847492
0.910,59.936,0.881589
