time,frequency,confidence
0.000,96.919,0.039250
0.010,96.919,0.039250
0.020,96.919,0.039250
0.030,96.919,0.039250
0.040,96.919,0.039250
0.050,96.919,0.039250
0.060,96.919,0.039250
0.070,96.919,0.039250
0.080,96.919,0.039250
0.090,96.919,0.039250
0.100,96.919,0.039250
0.110,96.919,0.039250
0.120,96.919,0.039250
0.130,96.919,0.039250
0.140,96.919,0.039250
0.150,96.919,0.039250
0.160,96.919,0.039250
0.170,96.919,0.039250
0.180,96.919,0.039250
0.190,96.919,0.039250
0.200,96.919,0.039250
0.210,96.919,0.039250
0.220,96.919,0.039250
0.230,96.919,0.039250
0.240,96.919,0.039250
0.250,96.919,0.039250
0.260,97.479,0.060964
0.270,97.040,0.088633
0.280,95.252,0.094024
0.290,276.325,0.137386
0.300,547.153,0.141961
0.310,547.274,0.142582
0.320,547.043,0.135127
0.330,547.265,0.142119
0.340,547.306,0.132067
0.350,547.253,0.119948
0.360,549.473,0.136347
0.370,553.430,0.245247
0.380,554.066,0.171658
0.390,1746.158,0.046053
0.400,1731.555,0.154398
0.410,1744.561,0.329603
0.420,1754.551,0.230800
0.430,1757.267,0.062903
0.440,129.802,0.038866
0.450,128.349,0.229376
0.460,127.015,0.249831
0.470,533.871,0.107129
0.480,535.920,0.075756
0.490,547.170,0.055657
0.500,146.949,0.292583
0.510,148.683,0.640667
0.520,151.210,0.604711
0.530,154.181,0.464740
0.540,155.969,0.402718
0.550,165.957,0.352640
0.560,191.409,0.290447
0.570,225.158,0.354864
0.580,235.030,0.753106
0.590,239.489,0.876978
0.600,245.380,0.844855
0.610,252.232,0.864606
0.620,256.917,0.968698
0.630,258.416,0.953501
0.640,259.063,0.957875
0.650,259.829,0.956209
0.660,261.501,0.945526
0.670,264.737,0.942499
0.680,269.146,0.940667
0.690,276.335,0.829979
0.700,285.500,0.847338
0.710,289.729,0.897844
0.720,292.735,0.878698
0.730,293.570,0.663710
0.740,266.786,0.473770
0.750,259.754,0.491158
0.760,246.349,0.520619
0.770,242.493,0.518305
0.780,237.750,0.540098
0.790,237.444,0.498245
0.800,239.225,0.240618
0.810,289.765,0.353645
0.820,299.257,0.540990
0.830,304.082,0.872447
0.840,307.202,0.952527
0.850,308.899,0.977766
0.860,308.266,0.977155
0.870,305.778,0.970643
0.880,303.255,0.938367
0.890,299.946,0.875955
0.900,294.230,0.801354
0.910,288.329,0.882965
0.920,286.437,0.925967
0.930,286.449,0.922294
0.940,285.244,0.939730
0.950,284.446,0.937441
0.960,284.153,0.931087
0.970,284.381,0.952985
0.980,284.479,0.958717
0.990,284.095,0.958892
1.000,283.463,0.942827
1.010,283.274,0.943736
1.020,283.742,0.961598
1.030,284.357,0.970192
1.040,284.960,0.970822
1.050,285.770,0.953703
1.060,286.678,0.944910
1.070,288.129,0.954931
1.080,289.846,0.930554
1.090,290.985,0.965579
1.100,291.648,0.968085
1.110,292.305,0.961339
1.120,292.456,0.959040
1.130,292.646,0.953082
1.140,292.942,0.934536
1.150,291.288,0.909762
1.160,289.141,0.635424
1.170,282.176,0.446781
1.180,276.658,0.306469
1.190,289.401,0.361896
1.200,290.462,0.715842
1.210,291.515,0.891828
1.220,290.537,0.908678
1.230,291.180,0.905113
1.240,291.069,0.853967
1.250,289.960,0.666553
1.260,288.399,0.528604
1.270,290.889,0.538931
1.280,291.605,0.406528
1.290,585.985,0.169378
1.300,1170.385,0.060334
1.310,196.508,0.239025
1.320,199.192,0.450952
1.330,205.960,0.519875
1.340,208.989,0.621882
1.350,217.010,0.434388
1.360,238.204,0.544282
1.370,246.916,0.782512
1.380,252.434,0.896465
1.390,255.311,0.918467
1.400,256.643,0.959052
1.410,256.443,0.958500
1.420,254.360,0.935636
1.430,251.765,0.938995
1.440,249.307,0.931455
1.450,248.013,0.953537
1.460,247.214,0.949995
1.470,246.100,0.937412
1.480,244.557,0.960220
1.490,242.619,0.974860
1.500,240.731,0.958383
1.510,240.183,0.956571
1.520,240.446,0.948420
1.530,241.198,0.970651
1.540,242.307,0.979873
1.550,243.832,0.938468
1.560,245.915,0.939972
1.570,248.037,0.943701
1.580,250.112,0.933218
1.590,252.465,0.929533
1.600,253.599,0.964367
1.610,253.854,0.966861
1.620,253.759,0.969189
1.630,252.911,0.954714
1.640,251.655,0.945908
1.650,249.953,0.944582
1.660,248.415,0.926610
1.670,246.623,0.914360
1.680,245.107,0.957779
1.690,244.028,0.945805
1.700,242.863,0.969832
1.710,242.051,0.980179
1.720,242.344,0.976056
1.730,243.752,0.939588
1.740,245.597,0.951512
1.750,247.457,0.946046
1.760,249.910,0.942506
1.770,252.015,0.926168
1.780,253.367,0.956614
1.790,253.311,0.953893
1.800,251.926,0.915023
1.810,250.052,0.936077
1.820,248.524,0.929054
1.830,246.943,0.919431
1.840,245.131,0.932156
1.850,242.630,0.902772
1.860,238.502,0.805439
1.870,234.755,0.868901
1.880,231.266,0.845963
1.890,229.320,0.839944
1.900,230.312,0.648096
1.910,236.808,0.651916
1.920,242.116,0.825497
1.930,244.283,0.870307
1.940,244.214,0.861327
1.950,242.951,0.787205
1.960,240.266,0.594146
1.970,233.244,0.449995
1.980,229.449,0.527708
1.990,235.473,0.477623
2.000,242.516,0.868487
2.010,243.060,0.893146
2.020,243.942,0.883290
2.030,244.480,0.866890
2.040,244.498,0.827183
2.050,242.824,0.698813
2.060,242.426,0.636724
2.070,242.493,0.572084
2.080,241.237,0.290347
2.090,224.886,0.044123
2.100,941.109,0.134144
2.110,889.147,0.237131
2.120,918.807,0.201908
2.130,305.263,0.662150
2.140,302.193,0.890321
2.150,299.152,0.922505
2.160,296.514,0.924230
2.170,296.134,0.954769
2.180,297.351,0.959328
2.190,299.044,0.959548
2.200,301.007,0.962594
2.210,303.403,0.947902
2.220,306.843,0.946094
2.230,310.644,0.948855
2.240,313.815,0.942218
2.250,316.250,0.953176
2.260,318.442,0.943811
2.270,319.999,0.948804
2.280,321.624,0.940546
2.290,323.707,0.962510
2.300,324.709,0.954752
2.310,323.865,0.969871
2.320,322.196,0.964313
2.330,321.516,0.946804
2.340,320.951,0.937361
2.350,319.768,0.957571
2.360,316.900,0.932351
2.370,313.403,0.926880
2.380,308.183,0.940250
2.390,302.995,0.936567
2.400,297.957,0.937707
2.410,292.929,0.908708
2.420,289.631,0.917907
2.430,287.768,0.963132
2.440,287.064,0.966402
2.450,287.309,0.968529
2.460,288.227,0.963084
2.470,289.926,0.928556
2.480,291.856,0.953812
2.490,293.209,0.937796
2.500,294.145,0.969558
2.510,294.983,0.974463
2.520,295.927,0.963938
2.530,296.979,0.948926
2.540,298.037,0.967929
2.550,298.421,0.968322
2.560,297.651,0.964471
2.570,296.253,0.952742
2.580,295.426,0.974187
2.590,295.440,0.973742
2.600,295.779,0.967799
2.610,295.640,0.971875
2.620,294.331,0.951736
2.630,291.887,0.742675
2.640,285.325,0.501727
2.650,273.407,0.592630
2.660,264.904,0.781147
2.670,265.703,0.797440
2.680,271.597,0.725679
2.690,279.542,0.677164
2.700,287.483,0.830950
2.710,293.061,0.863736
2.720,297.585,0.943534
2.730,300.927,0.948390
2.740,302.539,0.956883
2.750,301.914,0.955644
