time,frequency,confidence
0.000,601.830,0.021341
0.010,624.443,0.025737
0.020,49.299,0.049848
0.030,49.246,0.224792
0.040,49.332,0.179427
0.050,49.571,0.351606
0.060,51.033,0.170560
0.070,50.743,0.448056
0.080,50.441,0.178748
0.090,149.723,0.143591
0.100,49.343,0.072948
0.110,149.128,0.068440
0.120,49.435,0.201181
0.130,49.893,0.295876
0.140,51.029,0.116090
0.150,51.342,0.289141
0.160,51.209,0.079858
0.170,49.750,0.053610
0.180,49.628,0.147429
0.190,49.579,0.215761
0.200,49.495,0.403111
0.210,50.134,0.480818
0.220,50.117,0.587804
0.230,50.212,0.434607
0.240,50.398,0.100452
0.250,152.368,0.081088
0.260,151.017,0.085520
0.270,154.165,0.112827
0.280,51.930,0.177041
0.290,51.168,0.456807
0.300,50.714,0.382026
0.310,50.197,0.457986
0.320,50.505,0.307446
0.330,50.831,0.436132
0.340,50.973,0.392422
0.350,50.696,0.344825
0.360,49.427,0.180079
0.370,49.170,0.195960
0.380,49.543,0.208991
0.390,50.689,0.377427
0.400,49.881,0.631347
0.410,49.801,0.794651
0.420,49.978,0.746472
0.430,50.415,0.386875
0.440,50.242,0.211355
0.450,51.183,0.093617
0.460,51.450,0.072644
0.470,51.211,0.182012
0.480,49.848,0.109122
0.490,49.684,0.250979
0.500,50.981,0.241558
0.510,51.188,0.200696
0.520,50.643,0.192635
0.530,52.002,0.064989
0.540,1238.393,0.026312
0.550,700.568,0.028067
0.560,704.406,0.031123
0.570,718.758,0.056895
0.580,547.073,0.127066
0.590,548.058,0.156211
0.600,548.156,0.112610
0.610,547.441,0.097848
0.620,547.524,0.127680
0.630,548.512,0.152059
0.640,553.498,0.173707
0.650,555.540,0.056550
0.660,97.919,0.014763
0.670,78.827,0.038001
0.680,85.514,0.053782
0.690,32.933,0.214672
0.700,97.852,0.424553
0.710,98.172,0.631318
0.720,98.019,0.812617
0.730,97.547,0.761867
0.740,97.064,0.751129
0.750,96.525,0.710724
0.760,96.429,0.768772
0.770,96.682,0.766496
0.780,97.123,0.811068
0.790,97.326,0.842573
0.800,97.599,0.862634
0.810,97.772,0.874028
0.820,97.520,0.856464
0.830,97.322,0.871184
0.840,97.505,0.879130
0.850,97.648,0.855708
0.860,97.469,0.858122
0.870,97.175,0.866462
0.880,97.297,0.887577
0.890,97.472,0.885329
0.900,97.254,0.890104
0.910,97.132,0.890721
0.920,97.292,0.907303
0.930,97.631,0.894293
0.940,98.064,0.865027
0.950,100.599,0.558477
0.960,104.216,0.628631
0.970,105.697,0.306224
0.980,38.861,0.304723
0.990,35.273,0.338844
1.000,35.176,0.428783
1.010,35.024,0.601996
1.020,316.269,0.412408
1.030,315.508,0.301660
1.040,311.549,0.377942
1.050,38.501,0.422257
1.060,38.590,0.390727
1.070,101.142,0.128324
1.080,315.208,0.360931
1.090,314.371,0.705890
1.100,313.580,0.732852
1.110,314.847,0.660809
1.120,315.782,0.581567
1.130,313.715,0.339155
1.140,313.946,0.257113
1.150,104.272,0.267391
1.160,104.447,0.177337
1.170,302.146,0.191960
1.180,281.649,0.063244
1.190,46.749,0.044032
1.200,550.304,0.049893
1.210,98.363,0.045293
1.220,97.452,0.023228
1.230,96.529,0.041489
1.240,96.384,0.126010
1.250,97.438,0.408946
1.260,98.356,0.716611
1.270,98.109,0.819913
1.280,97.439,0.814108
1.290,97.370,0.835642
1.300,97.033,0.786957
1.310,96.635,0.797223
1.320,97.026,0.848083
1.330,97.267,0.866207
1.340,97.399,0.878005
1.350,97.544,0.878813
1.360,97.586,0.882114
1.370,97.464,0.882328
1.380,97.436,0.884336
1.390,97.535,0.884823
1.400,97.397,0.882013
1.410,97.152,0.862730
1.420,97.136,0.868016
1.430,97.263,0.878444
1.440,97.300,0.899642
1.450,97.346,0.903905
1.460,97.476,0.904467
1.470,97.485,0.908302
1.480,97.318,0.903932
1.490,97.497,0.862706
1.500,97.970,0.706294
1.510,102.787,0.269418
1.520,105.347,0.204112
1.530,38.947,0.329684
1.540,36.908,0.269265
1.550,36.248,0.315194
1.560,35.116,0.532597
1.570,34.856,0.874631
1.580,34.848,0.573963
1.590,106.393,0.404418
1.600,308.205,0.338182
1.610,37.973,0.193009
1.620,98.129,0.377172
1.630,32.943,0.407769
1.640,310.500,0.327745
1.650,310.021,0.498411
1.660,315.964,0.315422
1.670,98.625,0.290436
1.680,316.376,0.191629
1.690,313.537,0.110086
1.700,313.416,0.099588
1.710,98.251,0.109135
1.720,98.162,0.309897
1.730,98.042,0.194581
1.740,97.236,0.052660
1.750,98.009,0.048639
1.760,553.242,0.032273
1.770,32.507,0.040386
1.780,32.986,0.045514
1.790,94.819,0.125210
1.800,97.252,0.334117
1.810,98.386,0.723287
1.820,98.093,0.802782
1.830,97.470,0.768815
1.840,97.507,0.799745
1.850,97.004,0.753951
1.860,96.016,0.768736
1.870,96.047,0.827619
1.880,97.094,0.847140
1.890,97.550,0.863805
1.900,97.606,0.877293
1.910,97.429,0.876294
1.920,97.405,0.883013
1.930,97.358,0.879459
1.940,97.460,0.869879
1.950,97.429,0.860239
1.960,97.305,0.864223
1.970,97.275,0.867840
1.980,97.115,0.866226
1.990,97.074,0.871697
2.000,97.131,0.878557
2.010,97.357,0.880361
2.020,97.454,0.888428
2.030,97.474,0.884041
