time,frequency,confidence
0.000,547.385,0.035178
0.010,45.872,0.016615
0.020,550.207,0.104065
0.030,136.760,0.081471
0.040,417.130,0.043121
0.050,418.090,0.175115
0.060,493.894,0.284810
0.070,494.343,0.841586
0.080,494.705,0.912921
0.090,494.515,0.936026
0.100,494.454,0.955417
0.110,494.665,0.966207
0.120,494.940,0.972727
0.130,495.149,0.974468
0.140,495.391,0.974827
0.150,495.440,0.974677
0.160,495.602,0.973731
0.170,495.435,0.974313
0.180,495.149,0.976591
0.190,495.102,0.977758
0.200,494.969,0.977991
0.210,495.058,0.979294
0.220,495.012,0.979598
0.230,494.990,0.979721
0.240,494.953,0.978698
0.250,494.802,0.976106
0.260,494.521,0.972618
0.270,494.158,0.969783
0.280,494.022,0.971211
0.290,493.876,0.969486
0.300,493.648,0.968987
0.310,493.473,0.967850
0.320,493.264,0.966005
0.330,493.154,0.962019
0.340,493.028,0.956558
0.350,492.967,0.957696
0.360,493.132,0.964277
0.370,493.329,0.967021
0.380,493.517,0.970493
0.390,493.668,0.972159
0.400,493.832,0.970561
0.410,493.854,0.967268
0.420,493.612,0.961836
0.430,493.663,0.966620
0.440,493.746,0.968143
0.450,493.865,0.970958
0.460,493.963,0.972515
0.470,494.115,0.973922
0.480,494.206,0.971781
0.490,494.211,0.967893
0.500,493.802,0.960995
0.510,493.478,0.960908
0.520,493.356,0.962024
0.530,493.039,0.958914
0.540,492.772,0.958386
0.550,492.589,0.955504
0.560,492.323,0.943568
0.570,492.368,0.946424
0.580,492.506,0.952456
0.590,492.822,0.961281
0.600,492.910,0.961894
0.610,493.157,0.965616
0.620,493.475,0.968652
0.630,493.744,0.968339
0.640,493.809,0.968369
0.650,494.014,0.973623
0.660,494.138,0.974734
0.670,494.229,0.974924
0.680,494.358,0.975630
0.690,494.495,0.977568
0.700,494.744,0.979153
0.710,495.065,0.978365
0.720,495.408,0.975984
0.730,495.302,0.973800
0.740,494.988,0.975811
0.750,494.712,0.976255
0.760,494.698,0.976133
0.770,494.901,0.977562
0.780,494.943,0.979130
0.790,494.894,0.980228
0.800,494.979,0.980074
0.810,494.980,0.977012
0.820,494.816,0.972535
0.830,494.242,0.968684
0.840,493.948,0.969987
0.850,493.961,0.970110
0.860,493.962,0.970347
0.870,493.911,0.970497
0.880,493.938,0.972986
0.890,494.074,0.972967
0.900,494.077,0.970470
0.910,493.839,0.964318
