time,frequency,confidence
0.000,96.919,0.039250
0.010,96.919,0.039250
0.020,96.919,0.039250
0.030,96.919,0.039250
0.040,96.919,0.039250
0.050,96.919,0.039250
0.060,96.919,0.039250
0.070,96.919,0.039250
0.080,96.919,0.039250
0.090,96.919,0.039250
0.100,96.919,0.039250
0.110,96.919,0.039250
0.120,96.919,0.039250
0.130,96.919,0.039250
0.140,96.919,0.039250
0.150,96.919,0.039250
0.160,96.919,0.039250
0.170,96.919,0.039250
0.180,96.919,0.039250
0.190,96.919,0.039250
0.200,96.919,0.039250
0.210,96.919,0.039250
0.220,96.919,0.039250
0.230,96.919,0.039250
0.240,96.919,0.039250
0.250,96.919,0.039250
0.260,96.919,0.039250
0.270,96.919,0.039250
0.280,96.919,0.039250
0.290,96.919,0.039250
0.300,96.919,0.039250
0.310,96.919,0.039250
0.320,96.919,0.039250
0.330,96.919,0.039250
0.340,96.919,0.039250
0.350,96.919,0.039250
0.360,96.919,0.039250
0.370,96.919,0.039250
0.380,96.919,0.039250
0.390,96.919,0.039250
0.400,96.919,0.039250
0.410,96.919,0.039250
0.420,96.919,0.039250
0.430,96.919,0.039250
0.440,96.919,0.039250
0.450,96.919,0.039250
0.460,96.919,0.039250
0.470,96.919,0.039250
0.480,96.919,0.039250
0.490,96.919,0.039250
0.500,96.919,0.039250
0.510,96.919,0.039250
0.520,96.919,0.039250
0.530,96.919,0.039250
0.540,96.919,0.039250
0.550,96.919,0.039250
0.560,96.919,0.039250
0.570,96.919,0.039250
0.580,96.919,0.039250
0.590,96.919,0.039250
0.600,96.919,0.039250
0.610,96.919,0.039250
0.620,96.919,0.039250
0.630,96.919,0.039250
0.640,97.479,0.060964
0.650,97.040,0.088633
0.660,95.252,0.094024
0.670,276.325,0.137386
0.680,547.126,0.141317
0.690,547.265,0.144768
0.700,547.546,0.152707
0.710,547.215,0.141210
0.720,546.943,0.129319
0.730,546.865,0.129022
0.740,547.037,0.136017
0.750,547.979,0.092167
0.760,549.803,0.100204
0.770,549.540,0.192581
0.780,549.817,0.041329
0.790,134.742,0.008945
0.800,1966.670,0.023587
0.810,1963.043,0.020596
0.820,1947.580,0.016597
0.830,1925.612,0.013850
0.840,1908.333,0.050510
0.850,1870.634,0.028775
0.860,1824.583,0.049970
0.870,1844.426,0.046140
0.880,1839.108,0.053978
0.890,1823.722,0.039936
0.900,32.122,0.035889
0.910,38.475,0.096543
0.920,39.733,0.189346
0.930,39.848,0.284992
0.940,38.807,0.679836
0.950,38.553,0.550166
0.960,38.572,0.187381
0.970,43.764,0.176050
0.980,38.887,0.222394
0.990,38.832,0.060587
1.000,41.270,0.034079
1.010,40.589,0.129158
1.020,40.274,0.095407
1.030,40.260,0.063059
1.040,122.070,0.168996
1.050,118.042,0.167975
1.060,119.660,0.040070
1.070,543.259,0.024440
1.080,549.723,0.038857
1.090,222.728,0.413011
1.100,225.748,0.641778
1.110,229.354,0.747394
1.120,231.738,0.845938
1.130,234.660,0.912916
1.140,237.391,0.930900
1.150,239.259,0.961633
1.160,241.006,0.961291
1.170,242.623,0.973265
1.180,243.913,0.946585
1.190,245.355,0.962405
1.200,246.479,0.927503
1.210,248.139,0.935316
1.220,250.394,0.936164
1.230,252.685,0.946139
1.240,253.301,0.968454
1.250,252.296,0.939465
1.260,251.606,0.950798
1.270,250.983,0.949709
1.280,250.281,0.905052
1.290,248.569,0.729040
1.300,246.703,0.752031
1.310,248.786,0.775057
1.320,251.314,0.841272
1.330,252.406,0.832202
1.340,251.942,0.797357
1.350,250.883,0.808201
1.360,250.564,0.461744
1.370,303.616,0.349008
1.380,306.336,0.667057
1.390,309.115,0.884392
1.400,310.676,0.907770
1.410,314.890,0.909368
1.420,319.267,0.949303
1.430,320.886,0.932186
1.440,321.973,0.955489
1.450,320.826,0.922888
1.460,316.723,0.868331
1.470,308.129,0.863600
1.480,302.482,0.940584
1.490,298.957,0.958373
1.500,298.011,0.957696
1.510,298.449,0.954423
1.520,298.786,0.952311
1.530,298.557,0.955225
1.540,297.949,0.950967
1.550,297.407,0.945483
1.560,297.043,0.937258
1.570,296.354,0.940210
1.580,295.667,0.964832
1.590,294.815,0.970047
1.600,294.190,0.965596
1.610,293.389,0.944986
1.620,292.613,0.940273
1.630,292.018,0.952470
1.640,292.082,0.950620
1.650,292.308,0.950446
1.660,292.778,0.937401
1.670,293.036,0.925273
1.680,293.020,0.923992
1.690,293.208,0.930851
1.700,293.566,0.942313
1.710,294.175,0.962117
1.720,294.585,0.971295
1.730,294.778,0.974000
1.740,294.779,0.976518
1.750,294.737,0.978297
1.760,295.013,0.978502
1.770,295.361,0.978705
1.780,294.347,0.976659
1.790,293.365,0.903060
1.800,291.366,0.674569
1.810,289.598,0.406201
1.820,294.407,0.467058
1.830,295.969,0.649461
1.840,295.451,0.834843
1.850,294.617,0.948446
1.860,294.135,0.955030
1.870,294.037,0.942389
1.880,293.854,0.915902
1.890,293.190,0.791733
1.900,293.286,0.670525
1.910,293.332,0.395239
1.920,226.876,0.211399
1.930,241.934,0.520833
1.940,243.607,0.772020
1.950,245.421,0.887253
1.960,244.925,0.939368
1.970,242.909,0.729200
1.980,225.613,0.326944
1.990,221.047,0.555226
2.000,217.648,0.609563
2.010,211.593,0.548366
2.020,208.805,0.488224
2.030,205.576,0.185611
2.040,246.349,0.469785
2.050,276.062,0.230772
2.060,292.891,0.543667
2.070,294.703,0.805706
2.080,296.764,0.897232
2.090,298.142,0.967828
2.100,298.582,0.972130
2.110,297.843,0.972228
2.120,296.663,0.944918
2.130,295.328,0.978165
2.140,293.548,0.964404
2.150,292.339,0.955842
2.160,291.060,0.963644
2.170,290.465,0.952966
2.180,290.513,0.946193
2.190,291.427,0.952757
2.200,292.592,0.946583
2.210,293.242,0.943870
2.220,293.031,0.935889
2.230,293.246,0.948997
2.240,293.939,0.968102
2.250,295.149,0.971661
2.260,296.454,0.941761
2.270,297.588,0.960784
2.280,298.602,0.966398
2.290,299.072,0.964389
2.300,299.159,0.963905
2.310,298.790,0.970002
2.320,298.234,0.972887
2.330,297.479,0.967149
2.340,296.739,0.950076
2.350,296.186,0.965148
2.360,295.903,0.973334
2.370,295.907,0.973551
2.380,296.152,0.967786
2.390,296.293,0.965816
2.400,295.948,0.976087
2.410,295.244,0.984353
2.420,294.746,0.985212
2.430,294.133,0.980518
2.440,293.519,0.971041
2.450,292.947,0.946945
2.460,292.781,0.949285
2.470,292.783,0.948234
2.480,292.774,0.945147
2.490,292.308,0.959281
2.500,291.655,0.965295
2.510,290.771,0.964163
2.520,289.916,0.946701
2.530,289.688,0.937492
2.540,290.524,0.944260
2.550,293.406,0.916831
2.560,296.764,0.918522
2.570,300.628,0.921295
2.580,305.109,0.865269
2.590,311.808,0.821956
2.600,319.400,0.804743
2.610,326.411,0.898074
2.620,330.686,0.932420
2.630,334.196,0.932796
2.640,338.173,0.914587
2.650,339.332,0.922098
2.660,338.682,0.886935
2.670,334.010,0.814941
2.680,329.084,0.886763
2.690,326.164,0.937274
2.700,324.566,0.945210
2.710,324.843,0.942126
2.720,326.181,0.967949
2.730,327.386,0.964258
2.740,329.110,0.954673
2.750,331.979,0.953475
