time,frequency,confidence
0.000,96.919,0.039250
0.010,96.919,0.039250
0.020,96.919,0.039250
0.030,96.919,0.039250
0.040,96.919,0.039250
0.050,96.919,0.039250
0.060,96.919,0.039250
0.070,96.919,0.039250
0.080,96.919,0.039250
0.090,96.919,0.039250
0.100,96.919,0.039250
0.110,96.919,0.039250
0.120,96.919,0.039250
0.130,96.919,0.039250
0.140,96.919,0.039250
0.150,96.919,0.039250
0.160,97.479,0.060964
0.170,97.040,0.088633
0.180,95.252,0.094024
0.190,276.325,0.137386
0.200,547.126,0.141314
0.210,547.363,0.146972
0.220,547.664,0.160727
0.230,548.062,0.164073
0.240,547.804,0.158424
0.250,547.828,0.182028
0.260,547.703,0.206042
0.270,581.130,0.254694
0.280,129.473,0.015984
0.290,33.360,0.167953
0.300,32.678,0.063937
0.310,48.966,0.126266
0.320,99.025,0.065057
0.330,547.230,0.160416
0.340,547.961,0.165170
0.350,547.836,0.165073
0.360,548.041,0.184444
0.370,547.941,0.206399
0.380,552.603,0.341145
0.390,32.652,0.045873
0.400,32.583,0.017129
0.410,33.681,0.674552
0.420,102.477,0.195773
0.430,103.181,0.201595
0.440,99.834,0.045697
0.450,97.039,0.138370
0.460,96.455,0.126992
0.470,95.252,0.094024
0.480,276.325,0.137386
0.490,547.372,0.147149
0.500,547.679,0.161344
0.510,548.097,0.163782
0.520,547.803,0.157244
0.530,547.825,0.183116
0.540,547.682,0.206844
0.550,545.721,0.162345
0.560,32.658,0.028412
0.570,32.935,0.045300
0.580,32.718,0.190746
0.590,48.818,0.053823
0.600,54.198,0.085255
0.610,1955.215,0.050046
0.620,548.532,0.154749
0.630,547.951,0.175756
0.640,547.400,0.208461
0.650,553.020,0.186081
0.660,99.171,0.108120
0.670,32.439,0.147628
0.680,32.894,0.093482
0.690,54.345,0.046193
0.700,54.172,0.081063
0.710,86.293,0.046384
0.720,547.817,0.172396
0.730,547.777,0.192470
0.740,577.381,0.282365
0.750,146.541,0.047323
0.760,32.964,0.027313
0.770,32.788,0.129520
0.780,49.443,0.074476
0.790,118.854,0.090533
0.800,147.645,0.112863
0.810,32.596,0.009318
0.820,33.025,0.216998
0.830,49.311,0.024694
0.840,48.933,0.104179
0.850,491.407,0.063528
0.860,547.398,0.147486
0.870,547.722,0.163180
0.880,548.176,0.162754
0.890,547.804,0.153734
0.900,547.828,0.184479
0.910,547.631,0.206834
0.920,267.079,0.088977
0.930,133.029,0.212397
0.940,122.050,0.194837
0.950,96.591,0.115550
0.960,97.049,0.116318
0.970,97.476,0.095697
0.980,97.040,0.088633
0.990,95.252,0.094024
1.000,276.325,0.137386
1.010,547.499,0.149696
1.020,547.983,0.170396
1.030,548.434,0.153058
1.040,547.874,0.142502
1.050,547.801,0.181250
1.060,547.220,0.201439
1.070,32.592,0.095749
1.080,32.269,0.068393
1.090,32.752,0.104468
1.100,32.466,0.111872
1.110,54.025,0.062985
1.120,54.584,0.076867
1.130,575.639,0.172555
1.140,97.254,0.123128
1.150,102.685,0.136765
1.160,96.940,0.103930
1.170,97.649,0.092271
1.180,97.880,0.038535
1.190,96.919,0.039250
1.200,96.919,0.039250
1.210,96.919,0.039250
1.220,96.919,0.039250
1.230,97.479,0.060964
1.240,97.040,0.088633
1.250,95.252,0.094024
1.260,276.325,0.137386
1.270,547.267,0.144825
1.280,547.495,0.154357
1.290,547.700,0.163341
1.300,547.748,0.159296
1.310,547.775,0.167516
1.320,547.737,0.182302
1.330,577.357,0.240869
1.340,535.573,0.186833
1.350,102.621,0.154317
1.360,96.893,0.092022
1.370,97.522,0.088106
1.380,120.097,0.040649
1.390,96.919,0.039250
1.400,96.919,0.039250
1.410,96.919,0.039250
1.420,96.919,0.039250
1.430,97.479,0.060964
1.440,97.040,0.088633
1.450,95.252,0.094024
1.460,276.325,0.137386
1.470,547.332,0.146213
1.480,547.595,0.158177
1.490,547.931,0.165129
1.500,547.798,0.162047
1.510,547.823,0.176914
1.520,547.745,0.200169
1.530,576.894,0.126981
1.540,32.505,0.017293
1.550,33.053,0.149355
1.560,32.731,0.089415
1.570,49.473,0.098173
1.580,54.394,0.107740
1.590,544.518,0.152420
1.600,547.626,0.143204
1.610,547.713,0.152047
1.620,551.671,0.255859
1.630,534.743,0.203573
1.640,185.723,0.082277
1.650,97.672,0.065622
1.660,97.272,0.068150
1.670,120.104,0.043413
1.680,96.919,0.039250
1.690,96.919,0.039250
1.700,96.919,0.039250
1.710,96.919,0.039250
1.720,96.919,0.039250
1.730,96.919,0.039250
1.740,96.919,0.039250
1.750,96.919,0.039250
1.760,96.919,0.039250
1.770,96.919,0.039250
1.780,96.919,0.039250
1.790,97.479,0.060964
1.800,97.040,0.088633
1.810,95.252,0.094024
1.820,276.325,0.137386
1.830,547.216,0.143442
1.840,547.599,0.156111
1.850,548.196,0.177063
1.860,548.449,0.159427
1.870,547.934,0.165044
1.880,547.671,0.203813
1.890,548.083,0.208888
1.900,32.609,0.233279
1.910,32.350,0.092865
1.920,32.728,0.187445
1.930,52.876,0.017133
1.940,54.137,0.038781
1.950,120.207,0.197405
1.960,534.550,0.075029
1.970,157.083,0.071899
1.980,97.241,0.075542
1.990,120.198,0.043844
2.000,96.919,0.039250
2.010,96.919,0.039250
2.020,96.919,0.039250
2.030,96.919,0.039250
2.040,96.919,0.039250
2.050,96.919,0.039250
2.060,97.479,0.060964
2.070,97.040,0.088633
2.080,95.252,0.094024
2.090,276.325,0.137386
2.100,547.306,0.145692
2.110,547.544,0.156697
2.120,547.842,0.165085
2.130,547.789,0.162096
2.140,547.835,0.174268
2.150,547.855,0.195334
2.160,578.197,0.226028
2.170,32.639,0.015223
2.180,33.319,0.155281
2.190,32.676,0.039233
2.200,48.520,0.049331
2.210,119.714,0.128840
2.220,102.132,0.077012
2.230,97.782,0.075661
2.240,97.325,0.072037
2.250,120.123,0.039051
2.260,96.919,0.039250
2.270,96.919,0.039250
2.280,96.919,0.039250
2.290,96.919,0.039250
2.300,96.919,0.039250
2.310,96.919,0.039250
2.320,96.919,0.039250
2.330,97.479,0.060964
2.340,97.040,0.088633
2.350,95.252,0.094024
2.360,276.325,0.137386
2.370,547.130,0.141414
2.380,547.470,0.149071
2.390,547.895,0.168320
2.400,548.361,0.157571
2.410,547.860,0.147300
2.420,547.827,0.184896
2.430,547.398,0.205859
2.440,156.258,0.183730
2.450,161.487,0.060882
2.460,32.551,0.057619
2.470,32.911,0.072046
2.480,54.076,0.097140
2.490,108.622,0.064191
2.500,542.891,0.065912
2.510,547.817,0.176620
2.520,547.740,0.199675
2.530,576.188,0.284789
2.540,541.902,0.253080
2.550,534.997,0.076409
2.560,157.102,0.068136
2.570,97.268,0.076153
2.580,120.207,0.042671
2.590,96.919,0.039250
2.600,97.479,0.060964
2.610,97.040,0.088633
2.620,95.252,0.094024
2.630,276.325,0.137386
2.640,547.267,0.144819
2.650,547.562,0.156331
2.660,547.982,0.168760
2.670,549.292,0.169427
2.680,547.933,0.180791
2.690,547.870,0.203619
2.700,554.482,0.197604
2.710,145.248,0.063988
2.720,141.028,0.010517
2.730,32.635,0.007979
2.740,133.433,0.011370
2.750,132.760,0.014335
