time,frequency,confidence
0.000,33.493,0.024848
0.010,49.433,0.054136
0.020,49.647,0.132448
0.030,50.085,0.138753
0.040,49.841,0.135901
0.050,50.245,0.604897
0.060,50.436,0.463021
0.070,50.035,0.352629
0.080,49.241,0.557401
0.090,49.435,0.735570
0.100,49.338,0.630246
0.110,49.939,0.345111
0.120,50.799,0.214613
0.130,51.902,0.088420
0.140,54.149,0.034901
0.150,48.089,0.012945
0.160,46.008,0.138808
0.170,46.522,0.268278
0.180,49.551,0.190387
0.190,51.393,0.185086
0.200,52.315,0.045179
0.210,52.175,0.012292
0.220,152.799,0.058784
0.230,51.438,0.047050
0.240,32.162,0.018249
0.250,1323.725,0.020626
0.260,50.636,0.096357
0.270,50.342,0.456984
0.280,49.058,0.196131
0.290,49.273,0.145542
0.300,48.988,0.019522
0.310,51.763,0.053999
0.320,51.224,0.030320
0.330,51.780,0.158151
0.340,36.386,0.109430
0.350,36.695,0.135744
0.360,49.229,0.051913
0.370,49.933,0.172022
0.380,50.261,0.179361
0.390,50.348,0.075647
0.400,32.122,0.045032
0.410,51.292,0.028129
0.420,1311.045,0.033598
0.430,49.357,0.045385
0.440,36.000,0.020068
0.450,36.510,0.068534
0.460,49.052,0.199289
0.470,49.231,0.165620
0.480,50.581,0.059752
0.490,51.266,0.079935
0.500,50.703,0.055518
0.510,50.984,0.175130
0.520,50.188,0.409542
0.530,49.851,0.685459
0.540,49.564,0.621520
0.550,50.150,0.649783
0.560,50.537,0.540133
0.570,50.899,0.448668
0.580,50.500,0.280217
0.590,50.409,0.351320
0.600,49.737,0.272469
0.610,49.643,0.496652
0.620,50.512,0.631791
0.630,50.837,0.554394
0.640,50.733,0.148207
0.650,51.149,0.280744
0.660,51.220,0.075870
0.670,51.372,0.056356
0.680,51.544,0.056504
0.690,51.381,0.211384
0.700,50.225,0.067684
0.710,49.494,0.297648
0.720,51.471,0.214435
0.730,51.329,0.180073
0.740,51.104,0.109501
0.750,50.023,0.368699
0.760,50.469,0.400006
0.770,51.074,0.432200
0.780,51.475,0.412088
0.790,51.455,0.355623
0.800,51.234,0.202317
0.810,51.274,0.235142
0.820,50.963,0.065803
0.830,50.049,0.036147
0.840,152.513,0.014575
0.850,1341.094,0.013487
0.860,154.007,0.030822
0.870,51.013,0.018418
0.880,38.051,0.036254
0.890,49.927,0.114825
0.900,50.274,0.277759
0.910,50.590,0.316978
0.920,50.640,0.225010
0.930,50.024,0.604098
0.940,49.979,0.534548
0.950,50.109,0.516566
0.960,50.534,0.470028
0.970,51.422,0.462037
0.980,51.213,0.545628
0.990,51.010,0.502215
1.000,51.307,0.375686
1.010,50.826,0.317525
1.020,51.157,0.104510
1.030,51.178,0.215701
1.040,51.900,0.190412
1.050,49.693,0.227328
1.060,50.267,0.273157
1.070,50.748,0.479989
1.080,50.689,0.400796
1.090,49.298,0.524029
1.100,49.125,0.588738
1.110,49.194,0.689300
1.120,49.228,0.576630
1.130,49.371,0.222284
1.140,49.982,0.041461
1.150,51.388,0.049884
1.160,51.045,0.035951
1.170,50.232,0.117573
1.180,49.812,0.100999
1.190,51.448,0.297841
1.200,51.417,0.416717
1.210,50.440,0.407409
1.220,50.124,0.558732
1.230,49.817,0.503901
1.240,49.792,0.308194
1.250,152.969,0.046291
1.260,47.607,0.027468
1.270,48.300,0.035895
1.280,48.930,0.028373
1.290,49.732,0.171204
1.300,50.230,0.420702
1.310,50.465,0.754517
1.320,50.966,0.763379
1.330,51.063,0.706275
1.340,50.808,0.599561
1.350,50.258,0.328302
1.360,49.039,0.048843
1.370,51.272,0.061515
1.380,151.895,0.047246
1.390,51.031,0.185236
1.400,51.552,0.133326
1.410,48.714,0.500819
1.420,49.011,0.431907
1.430,50.127,0.121956
1.440,49.699,0.034350
1.450,49.927,0.113061
1.460,49.446,0.028650
1.470,50.366,0.173281
1.480,50.040,0.050979
1.490,50.290,0.226424
1.500,50.859,0.110702
1.510,48.951,0.052275
1.520,48.605,0.059221
1.530,49.066,0.169920
1.540,49.364,0.441754
1.550,49.864,0.586198
1.560,50.364,0.622589
1.570,50.731,0.523837
1.580,49.935,0.275649
1.590,49.607,0.212273
1.600,49.629,0.040387
1.610,49.033,0.127063
1.620,49.095,0.205330
1.630,49.490,0.424333
1.640,50.659,0.564434
1.650,50.617,0.724807
1.660,50.018,0.831658
1.670,49.910,0.764952
1.680,50.367,0.354201
1.690,50.723,0.431111
1.700,51.050,0.197371
1.710,50.010,0.326718
1.720,49.537,0.271964
1.730,48.901,0.288527
1.740,48.748,0.121134
1.750,36.971,0.061589
1.760,50.199,0.078900
1.770,50.469,0.070673
1.780,50.681,0.143724
1.790,51.010,0.168104
1.800,49.423,0.021344
1.810,39.339,0.019239
1.820,51.648,0.088495
1.830,36.056,0.021514
1.840,35.880,0.027466
1.850,48.839,0.065398
1.860,49.398,0.297714
1.870,49.668,0.395727
1.880,50.189,0.263498
1.890,50.447,0.633949
1.900,50.564,0.359867
1.910,50.347,0.273985
1.920,50.426,0.304566
1.930,51.214,0.337982
1.940,51.305,0.341267
1.950,49.454,0.272978
1.960,48.982,0.278587
1.970,49.226,0.525054
1.980,49.455,0.611020
1.990,49.479,0.613169
2.000,49.693,0.458905
2.010,49.569,0.430597
2.020,48.801,0.451042
2.030,48.568,0.119745
2.040,51.260,0.124345
2.050,51.355,0.567232
2.060,51.088,0.745193
2.070,51.117,0.593977
2.080,51.547,0.176964
2.090,51.320,0.051100
2.100,49.223,0.056513
2.110,49.199,0.080768
2.120,49.635,0.011360
2.130,51.902,0.025811
2.140,32.055,0.051042
2.150,37.979,0.028439
2.160,49.642,0.163357
2.170,50.236,0.550196
2.180,50.361,0.463026
2.190,50.736,0.389383
2.200,51.278,0.284636
2.210,50.315,0.176943
2.220,48.883,0.148198
2.230,49.390,0.301171
2.240,49.673,0.220695
2.250,49.592,0.101358
2.260,48.793,0.084080
2.270,48.932,0.062758
2.280,49.827,0.109779
2.290,49.931,0.203466
2.300,49.441,0.352519
2.310,49.038,0.113863
2.320,48.789,0.046354
2.330,48.410,0.013596
2.340,37.917,0.010572
2.350,47.388,0.037723
2.360,152.214,0.029624
2.370,50.912,0.058795
2.380,51.923,0.073990
2.390,51.839,0.171140
2.400,156.079,0.099392
2.410,51.461,0.086720
2.420,151.787,0.019870
2.430,32.166,0.022120
2.440,32.065,0.009927
2.450,32.188,0.011597
2.460,1000.319,0.013221
2.470,50.738,0.113969
2.480,50.755,0.182957
2.490,50.842,0.577419
2.500,51.071,0.504297
2.510,50.438,0.489704
2.520,51.190,0.329914
2.530,51.412,0.369006
2.540,49.694,0.352152
2.550,49.483,0.617018
2.560,49.517,0.386676
2.570,49.495,0.403641
2.580,151.523,0.169439
2.590,152.535,0.173437
2.600,50.785,0.105287
2.610,50.464,0.324722
2.620,50.550,0.636422
2.630,50.873,0.520592
2.640,50.967,0.240306
2.650,49.440,0.173915
2.660,49.537,0.034609
2.670,32.357,0.020753
2.680,32.172,0.033208
2.690,32.315,0.008567
2.700,151.731,0.022078
2.710,48.775,0.010487
2.720,37.719,0.025744
2.730,37.059,0.104733
2.740,37.008,0.072303
2.750,50.591,0.206509
2.760,50.016,0.135392
2.770,51.094,0.058523
2.780,50.784,0.280808
2.790,50.265,0.092297
2.800,151.795,0.149299
2.810,49.345,0.168035
2.820,49.900,0.175148
2.830,50.368,0.088790
2.840,50.254,0.151403
2.850,51.019,0.026110
2.860,32.146,0.038601
2.870,32.142,0.040940
2.880,77.752,0.138400
2.890,1321.663,0.057040
2.900,49.393,0.021839
2.910,51.164,0.154394
2.920,52.111,0.164255
2.930,51.554,0.167386
2.940,51.124,0.105420
2.950,49.449,0.083868
2.960,52.065,0.133375
2.970,52.462,0.299955
2.980,52.466,0.208052
2.990,52.098,0.240437
3.000,49.408,0.240344
3.010,49.331,0.529644
3.020,49.270,0.404158
3.030,49.544,0.393160
3.040,49.464,0.341413
3.050,49.047,0.445249
3.060,49.044,0.261405
3.070,50.526,0.042623
3.080,51.158,0.149430
3.090,50.828,0.229894
3.100,51.307,0.245629
3.110,51.170,0.164213
3.120,49.733,0.076322
3.130,50.271,0.091681
3.140,50.347,0.416988
3.150,50.206,0.552599
3.160,50.072,0.272976
3.170,50.049,0.213420
3.180,50.589,0.266738
3.190,50.205,0.200098
3.200,49.643,0.440821
3.210,49.848,0.311436
3.220,50.631,0.052251
3.230,49.653,0.035848
3.240,48.761,0.073046
3.250,49.081,0.406342
3.260,51.086,0.275278
3.270,52.117,0.520941
3.280,52.047,0.322723
3.290,50.544,0.053620
3.300,49.335,0.148154
3.310,48.610,0.171824
3.320,150.664,0.076060
3.330,150.080,0.124556
3.340,51.546,0.091786
3.350,51.262,0.095680
3.360,50.956,0.038220
3.370,49.347,0.118549
3.380,50.285,0.095952
3.390,51.627,0.181572
3.400,51.583,0.059592
3.410,49.728,0.050247
3.420,36.238,0.359779
3.430,36.556,0.179950
3.440,48.926,0.329637
3.450,51.260,0.087913
3.460,52.005,0.349562
3.470,51.177,0.173429
3.480,50.211,0.153227
3.490,49.574,0.362835
3.500,50.665,0.137181
3.510,51.130,0.056383
3.520,51.949,0.035663
3.530,940.776,0.014484
3.540,698.887,0.037216
3.550,661.549,0.107688
3.560,76.692,0.072196
3.570,36.581,0.091724
3.580,36.508,0.152148
3.590,1189.995,0.026251
3.600,1164.193,0.004356
3.610,132.632,0.005550
3.620,52.281,0.009790
3.630,1321.959,0.006104
3.640,55.501,0.007078
3.650,54.697,0.038439
3.660,152.054,0.026824
3.670,35.792,0.144579
3.680,36.084,0.075589
3.690,50.903,0.042431
3.700,51.261,0.067312
3.710,51.266,0.032543
3.720,35.776,0.062336
3.730,51.364,0.033531
3.740,52.016,0.190487
3.750,51.218,0.151363
3.760,49.844,0.205890
3.770,49.708,0.216708
3.780,52.088,0.617922
3.790,51.908,0.446958
3.800,51.080,0.067972
3.810,36.333,0.148408
3.820,49.442,0.051921
3.830,49.462,0.047578
3.840,32.102,0.025803
3.850,32.088,0.046813
3.860,32.404,0.013994
3.870,32.221,0.064538
3.880,32.222,0.040594
3.890,32.242,0.029756
3.900,32.224,0.020360
3.910,145.729,0.069674
3.920,49.568,0.034014
3.930,155.048,0.024016
3.940,32.073,0.027396
3.950,151.529,0.031064
3.960,151.068,0.038364
3.970,36.347,0.027346
3.980,32.158,0.020079
3.990,48.653,0.012089
4.000,242.382,0.079232
4.010,1975.955,0.013821
4.020,1330.226,0.019742
4.030,471.258,0.037143
4.040,153.563,0.102776
4.050,150.151,0.117305
4.060,51.253,0.211541
4.070,51.701,0.194179
4.080,51.681,0.089751
4.090,36.968,0.027388
4.100,49.637,0.052245
4.110,49.249,0.181753
4.120,76.484,0.036129
4.130,50.924,0.340037
4.140,51.174,0.464929
4.150,51.317,0.664081
4.160,51.232,0.624545
4.170,51.244,0.031593
4.180,32.178,0.029132
4.190,32.279,0.029861
4.200,36.833,0.070722
4.210,37.101,0.090144
4.220,52.258,0.047459
4.230,52.069,0.081201
4.240,51.886,0.100241
4.250,51.318,0.035815
4.260,51.262,0.114839
4.270,50.733,0.467490
4.280,50.992,0.565738
4.290,51.164,0.293777
4.300,51.245,0.283347
4.310,50.642,0.253451
4.320,154.521,0.188733
4.330,153.877,0.154898
4.340,153.626,0.035095
4.350,1315.656,0.011273
4.360,32.384,0.013750
4.370,48.859,0.029039
4.380,36.995,0.041240
4.390,37.112,0.072188
4.400,49.319,0.046608
4.410,48.696,0.018017
4.420,49.626,0.082561
4.430,50.869,0.200363
4.440,51.185,0.171935
4.450,51.842,0.465182
4.460,51.503,0.713005
4.470,51.475,0.617967
4.480,50.948,0.374892
4.490,49.608,0.291487
4.500,49.587,0.250065
4.510,49.722,0.129983
4.520,50.793,0.035051
4.530,36.421,0.048366
4.540,36.521,0.047800
4.550,49.411,0.135939
4.560,48.961,0.299946
4.570,49.411,0.316456
4.580,49.952,0.197486
4.590,51.290,0.345271
4.600,51.205,0.251663
4.610,51.485,0.043824
4.620,51.443,0.144183
4.630,48.738,0.063745
4.640,48.133,0.087749
4.650,48.892,0.016910
4.660,51.409,0.082700
4.670,52.017,0.248983
4.680,51.203,0.033088
4.690,48.986,0.123890
4.700,49.377,0.160496
4.710,49.780,0.153176
4.720,50.651,0.148601
4.730,50.144,0.430804
4.740,49.842,0.037892
4.750,49.426,0.015355
4.760,49.629,0.055714
4.770,32.137,0.022654
4.780,51.408,0.039326
4.790,32.374,0.021746
4.800,50.993,0.030305
4.810,32.283,0.022065
4.820,50.648,0.007558
4.830,32.148,0.009346
4.840,50.744,0.038134
4.850,49.334,0.210290
4.860,49.284,0.313257
4.870,49.575,0.392820
4.880,49.933,0.314791
4.890,50.213,0.259825
4.900,50.243,0.373686
4.910,50.736,0.131876
4.920,154.281,0.069715
4.930,49.512,0.057481
4.940,49.273,0.047011
4.950,51.019,0.008332
4.960,51.374,0.251283
4.970,50.840,0.421673
4.980,50.008,0.593536
4.990,49.625,0.681479
5.000,49.504,0.687997
5.010,49.386,0.618896
5.020,49.275,0.233938
5.030,50.322,0.122190
5.040,51.180,0.194678
5.050,49.420,0.084366
5.060,49.306,0.104460
5.070,49.473,0.041951
5.080,50.381,0.115417
5.090,51.063,0.240462
5.100,50.663,0.367048
5.110,49.583,0.345074
5.120,48.787,0.240898
5.130,49.028,0.030971
5.140,38.700,0.014772
5.150,32.063,0.010397
5.160,52.462,0.025037
5.170,51.503,0.015897
5.180,50.348,0.096453
5.190,50.917,0.120692
5.200,49.461,0.410912
5.210,49.480,0.098233
5.220,36.381,0.081715
5.230,36.516,0.073534
5.240,48.789,0.198808
5.250,48.610,0.299343
5.260,49.492,0.033358
5.270,50.699,0.036093
5.280,50.173,0.020183
5.290,1319.779,0.020773
5.300,48.265,0.048780
5.310,32.048,0.040562
5.320,48.771,0.066160
5.330,48.765,0.041642
5.340,48.749,0.096786
5.350,48.976,0.014824
5.360,49.586,0.027631
5.370,48.908,0.037770
5.380,37.882,0.225230
5.390,37.806,0.260181
5.400,47.721,0.136717
5.410,32.124,0.024646
5.420,37.769,0.058448
5.430,37.544,0.154659
5.440,35.992,0.130596
5.450,35.595,0.156212
5.460,32.295,0.031643
5.470,54.782,0.020918
5.480,54.542,0.024332
5.490,54.283,0.040800
5.500,50.893,0.356882
5.510,49.635,0.385582
5.520,50.968,0.251853
5.530,50.815,0.076640
5.540,32.376,0.114514
5.550,35.555,0.031403
5.560,49.079,0.111919
5.570,48.593,0.146921
5.580,45.350,0.015774
5.590,44.672,0.016311
5.600,204.920,0.025754
5.610,204.647,0.034763
5.620,55.381,0.020489
5.630,230.474,0.046446
5.640,55.658,0.028773
5.650,44.820,0.322272
5.660,43.410,0.374198
5.670,43.212,0.258957
5.680,52.083,0.716174
5.690,51.762,0.870450
5.700,51.442,0.745948
