time,frequency,confidence
0.000,276.325,0.137386
0.010,547.126,0.141317
0.020,547.346,0.146542
0.030,547.637,0.159367
0.040,548.036,0.155489
0.050,547.490,0.130781
0.060,547.145,0.144446
0.070,547.871,0.186172
0.080,548.465,0.163651
0.090,547.526,0.099887
0.100,549.256,0.118861
0.110,548.764,0.118455
0.120,549.276,0.121591
0.130,549.026,0.114105
0.140,552.990,0.181105
0.150,575.628,0.087324
0.160,322.428,0.284167
0.170,323.330,0.677155
0.180,326.292,0.731007
0.190,333.250,0.736762
0.200,345.803,0.756936
0.210,357.012,0.818533
0.220,367.458,0.875220
0.230,375.330,0.831066
0.240,382.407,0.717306
0.250,395.315,0.820519
0.260,400.183,0.895653
0.270,401.360,0.926469
0.280,402.308,0.927408
0.290,404.107,0.905009
0.300,407.243,0.900127
0.310,413.094,0.887186
0.320,420.974,0.864094
0.330,428.904,0.892510
0.340,434.682,0.901684
0.350,438.640,0.915938
0.360,441.563,0.971198
0.370,444.150,0.931775
0.380,448.932,0.887856
0.390,456.538,0.897732
0.400,462.955,0.899321
0.410,468.020,0.917018
0.420,472.879,0.854457
0.430,483.448,0.761921
0.440,492.656,0.917300
0.450,497.786,0.938409
0.460,502.013,0.946307
0.470,504.587,0.923841
0.480,504.937,0.935269
0.490,505.101,0.932676
0.500,505.408,0.929047
0.510,504.752,0.921526
0.520,503.964,0.927705
0.530,502.891,0.943482
0.540,502.134,0.950185
0.550,502.629,0.948991
0.560,503.991,0.931179
0.570,504.474,0.926340
0.580,504.132,0.937169
0.590,503.295,0.946625
0.600,502.136,0.949703
0.610,500.877,0.949832
0.620,500.207,0.950858
0.630,502.233,0.949721
0.640,506.572,0.940198
0.650,510.833,0.942560
0.660,513.791,0.950757
0.670,515.734,0.913196
0.680,518.033,0.937764
0.690,520.025,0.940470
0.700,520.766,0.939525
0.710,521.113,0.935431
0.720,521.466,0.930788
0.730,521.479,0.929039
0.740,522.158,0.933544
0.750,522.016,0.930869
0.760,520.038,0.930098
0.770,516.001,0.907024
0.780,513.204,0.926599
0.790,512.051,0.928919
0.800,511.166,0.914977
0.810,507.992,0.926500
0.820,504.813,0.923013
0.830,503.134,0.949674
0.840,500.941,0.944746
0.850,495.933,0.940490
0.860,491.310,0.930121
0.870,490.824,0.942706
0.880,490.745,0.947639
0.890,491.961,0.939113
0.900,494.133,0.959811
0.910,497.574,0.954999
0.920,499.942,0.958113
0.930,500.872,0.964856
0.940,502.942,0.949582
0.950,506.577,0.946684
0.960,509.356,0.926715
0.970,511.398,0.933803
0.980,512.744,0.934385
0.990,512.533,0.935434
1.000,510.849,0.927038
1.010,509.340,0.922696
1.020,507.923,0.933325
1.030,505.600,0.916574
1.040,503.385,0.937496
1.050,503.175,0.941580
1.060,505.383,0.931888
1.070,508.687,0.941388
1.080,511.130,0.949088
1.090,511.683,0.953141
1.100,512.070,0.954277
1.110,512.502,0.958694
1.120,512.880,0.960512
1.130,513.048,0.956484
1.140,513.534,0.948732
1.150,515.670,0.911115
1.160,519.393,0.942250
1.170,522.598,0.936472
1.180,524.904,0.957344
1.190,524.928,0.940342
1.200,523.913,0.860809
1.210,519.799,0.710054
1.220,514.955,0.673942
1.230,509.771,0.710590
1.240,511.355,0.814724
1.250,515.258,0.866621
1.260,517.596,0.896235
1.270,519.160,0.902404
1.280,518.440,0.900507
1.290,517.368,0.872796
1.300,516.280,0.770726
1.310,512.419,0.509734
1.320,491.873,0.362978
1.330,444.814,0.362317
1.340,435.441,0.616382
1.350,428.292,0.673908
1.360,414.748,0.676224
1.370,401.824,0.844053
1.380,396.448,0.926854
1.390,395.011,0.942967
1.400,394.516,0.960566
1.410,393.441,0.970373
1.420,393.347,0.970680
1.430,393.516,0.972391
1.440,393.848,0.971854
1.450,394.804,0.961257
1.460,395.328,0.946867
1.470,394.126,0.965890
1.480,392.957,0.938281
1.490,395.043,0.722821
1.500,408.816,0.539609
1.510,396.489,0.755711
1.520,393.548,0.952404
1.530,393.397,0.968292
1.540,395.550,0.936776
1.550,396.965,0.934488
1.560,395.640,0.888998
1.570,392.813,0.878358
1.580,788.629,0.404528
1.590,399.901,0.472090
1.600,395.774,0.820679
1.610,393.777,0.907572
1.620,392.636,0.924978
1.630,392.629,0.931249
1.640,392.038,0.923878
1.650,390.767,0.907295
1.660,387.195,0.876345
1.670,383.079,0.899710
1.680,379.210,0.927728
1.690,376.369,0.942510
1.700,374.540,0.918338
1.710,374.125,0.895143
1.720,374.604,0.922851
1.730,375.914,0.950346
1.740,377.666,0.937116
1.750,380.388,0.958533
1.760,382.408,0.934884
1.770,384.524,0.960336
1.780,386.304,0.929834
1.790,386.873,0.929191
1.800,387.068,0.871633
1.810,384.747,0.738272
1.820,380.891,0.886699
1.830,379.506,0.928785
1.840,377.149,0.899685
1.850,373.790,0.894574
1.860,373.827,0.812942
1.870,375.744,0.761092
1.880,374.298,0.578988
1.890,363.876,0.649942
1.900,357.554,0.904393
1.910,351.745,0.877823
1.920,343.661,0.646052
1.930,333.924,0.892200
1.940,334.239,0.935371
1.950,334.811,0.906576
1.960,335.206,0.768112
1.970,333.146,0.679190
1.980,333.212,0.734094
1.990,332.931,0.808316
2.000,331.246,0.927132
2.010,330.264,0.959759
2.020,329.785,0.956490
2.030,329.634,0.952253
2.040,329.796,0.960776
2.050,330.108,0.968359
2.060,329.711,0.964819
2.070,328.634,0.931294
2.080,327.541,0.952277
2.090,326.873,0.958791
2.100,326.409,0.964577
2.110,325.934,0.956085
2.120,326.434,0.962669
2.130,327.282,0.958028
2.140,328.366,0.934103
2.150,329.055,0.947297
2.160,329.381,0.954524
2.170,330.505,0.967275
2.180,331.255,0.969645
2.190,332.000,0.964773
2.200,332.388,0.956730
2.210,332.477,0.949040
2.220,331.738,0.968848
2.230,330.823,0.984488
2.240,329.564,0.975868
2.250,328.811,0.952373
2.260,329.342,0.966240
2.270,330.035,0.979164
2.280,329.768,0.974295
2.290,328.689,0.945618
2.300,326.971,0.958427
2.310,325.983,0.952772
2.320,325.847,0.962139
2.330,326.408,0.971327
2.340,327.952,0.963256
2.350,329.419,0.970621
2.360,330.300,0.982024
2.370,331.062,0.976650
2.380,332.218,0.955744
