time,frequency,confidence
0.000,276.427,0.018670
0.010,47.503,0.076408
0.020,49.339,0.242786
0.030,51.168,0.206269
0.040,51.193,0.136532
0.050,50.263,0.256551
0.060,49.186,0.453027
0.070,49.006,0.549986
0.080,49.712,0.591875
0.090,49.937,0.676661
0.100,49.745,0.664303
0.110,50.323,0.345187
0.120,51.089,0.037115
0.130,51.177,0.043554
0.140,49.928,0.285002
0.150,49.396,0.664311
0.160,49.259,0.562833
0.170,50.025,0.468800
0.180,51.020,0.282994
0.190,51.058,0.493517
0.200,50.781,0.398594
0.210,49.622,0.244905
0.220,51.816,0.099477
0.230,51.820,0.030700
0.240,51.783,0.109888
0.250,48.552,0.274231
0.260,49.491,0.435913
0.270,49.480,0.402792
0.280,49.192,0.602971
0.290,49.321,0.611200
0.300,49.599,0.356445
0.310,49.292,0.478432
0.320,49.356,0.549488
0.330,49.884,0.635056
0.340,49.977,0.539568
0.350,50.529,0.467468
0.360,50.931,0.319018
0.370,50.841,0.395779
0.380,49.958,0.460648
0.390,49.642,0.360995
0.400,49.523,0.221826
0.410,49.637,0.256848
0.420,49.764,0.401016
0.430,49.955,0.357789
0.440,49.538,0.399836
0.450,49.503,0.460264
0.460,50.062,0.305247
0.470,50.678,0.348546
0.480,49.785,0.479244
0.490,49.465,0.490290
0.500,50.165,0.374835
0.510,51.262,0.525903
0.520,51.045,0.387052
0.530,51.249,0.589834
0.540,51.159,0.512718
0.550,51.092,0.333945
0.560,51.414,0.097238
0.570,51.955,0.100990
0.580,48.661,0.199758
0.590,48.791,0.302891
0.600,49.635,0.695682
0.610,49.971,0.717840
0.620,49.930,0.637296
0.630,50.101,0.531477
0.640,50.047,0.280522
0.650,49.756,0.471681
0.660,50.606,0.230188
0.670,49.987,0.613156
0.680,49.800,0.371266
0.690,49.906,0.551664
0.700,51.164,0.516616
0.710,50.811,0.426526
0.720,51.203,0.244631
0.730,51.909,0.203315
0.740,51.646,0.324167
0.750,51.062,0.250960
0.760,49.567,0.132376
0.770,50.093,0.098054
0.780,50.005,0.042382
0.790,32.227,0.016267
0.800,32.243,0.011695
0.810,49.045,0.076940
0.820,48.807,0.137172
0.830,51.049,0.047224
0.840,51.365,0.044796
0.850,52.003,0.100356
0.860,51.305,0.059578
0.870,50.678,0.166536
0.880,49.995,0.044896
0.890,50.081,0.020297
0.900,49.618,0.146128
0.910,50.908,0.201205
0.920,50.703,0.242067
