time,frequency,confidence
0.000,160.463,0.020765
0.010,37.902,0.041241
0.020,38.233,0.211439
0.030,37.773,0.173303
0.040,38.538,0.089972
0.050,48.507,0.220109
0.060,168.307,0.074178
0.070,175.027,0.073202
0.080,42.958,0.032843
0.090,35.037,0.201450
0.100,42.647,0.765345
0.110,42.410,0.685848
0.120,34.020,0.064432
0.130,35.253,0.058007
0.140,35.267,0.044782
0.150,50.839,0.047209
0.160,32.349,0.007066
0.170,52.173,0.013087
0.180,1974.553,0.033074
0.190,287.035,0.142178
0.200,282.427,0.031885
0.210,54.851,0.071432
0.220,54.527,0.560773
0.230,54.189,0.872044
0.240,53.328,0.857386
0.250,52.084,0.753408
0.260,51.238,0.312702
0.270,43.185,0.168365
0.280,52.348,0.085576
0.290,54.155,0.042864
0.300,1317.633,0.044191
0.310,32.248,0.017605
0.320,32.187,0.012828
0.330,34.678,0.071421
0.340,254.228,0.165899
0.350,35.339,0.069680
0.360,190.123,0.089041
0.370,195.172,0.200376
0.380,198.625,0.368467
0.390,662.580,0.235970
0.400,145.447,0.076815
0.410,130.300,0.179124
0.420,127.760,0.144689
0.430,256.270,0.065469
0.440,35.782,0.155349
0.450,35.144,0.281170
0.460,162.001,0.116861
0.470,151.405,0.060575
0.480,150.496,0.113418
0.490,83.768,0.005595
0.500,32.105,0.006351
0.510,35.739,0.047675
0.520,35.557,0.020777
0.530,35.123,0.013455
0.540,47.572,0.176079
0.550,46.695,0.111415
0.560,32.919,0.010868
0.570,32.793,0.060285
0.580,38.974,0.023761
0.590,38.960,0.123696
0.600,39.112,0.072816
0.610,32.799,0.019584
0.620,1857.686,0.019789
0.630,1846.384,0.010574
0.640,33.415,0.007293
0.650,1780.013,0.003719
0.660,35.512,0.013243
0.670,38.285,0.042982
0.680,37.935,0.025828
0.690,84.752,0.009976
0.700,85.301,0.009051
0.710,177.551,0.002746
0.720,1207.413,0.019579
0.730,1790.631,0.010043
0.740,32.785,0.071940
0.750,32.336,0.166061
0.760,32.749,0.026522
