time,frequency,confidence
0.000,96.919,0.039250
0.010,96.919,0.039250
0.020,96.919,0.039250
0.030,96.919,0.039250
0.040,96.919,0.039250
0.050,96.919,0.039250
0.060,96.919,0.039250
0.070,96.919,0.039250
0.080,96.919,0.039250
0.090,96.919,0.039250
0.100,96.919,0.039250
0.110,96.919,0.039250
0.120,96.919,0.039250
0.130,96.919,0.039250
0.140,96.919,0.039250
0.150,96.919,0.039250
0.160,96.919,0.039250
0.170,96.919,0.039250
0.180,96.919,0.039250
0.190,96.919,0.039250
0.200,96.919,0.039250
0.210,96.919,0.039250
0.220,96.919,0.039250
0.230,96.919,0.039250
0.240,96.919,0.039250
0.250,96.919,0.039250
0.260,96.919,0.039250
0.270,96.919,0.039250
0.280,96.919,0.039250
0.290,96.919,0.039250
0.300,96.919,0.039250
0.310,96.919,0.039250
0.320,96.919,0.039250
0.330,96.919,0.039250
0.340,96.919,0.039250
0.350,96.919,0.039250
0.360,96.919,0.039250
0.370,96.919,0.039250
0.380,96.919,0.039250
0.390,96.919,0.039250
0.400,96.919,0.039250
0.410,96.919,0.039250
0.420,96.919,0.039250
0.430,96.919,0.039250
0.440,96.919,0.039250
0.450,96.919,0.039250
0.460,96.919,0.039250
0.470,96.919,0.039250
0.480,96.919,0.039250
0.490,96.919,0.039250
0.500,96.919,0.039250
0.510,96.919,0.039250
0.520,96.919,0.039250
0.530,96.919,0.039250
0.540,97.479,0.060964
0.550,97.040,0.088633
0.560,95.252,0.094024
0.570,276.325,0.137386
0.580,547.200,0.139204
0.590,546.617,0.124645
0.600,546.464,0.128008
0.610,546.968,0.152578
0.620,546.955,0.131172
0.630,547.221,0.104237
0.640,550.946,0.148799
0.650,551.372,0.149070
0.660,546.960,0.021769
0.670,453.629,0.012711
0.680,32.168,0.036345
0.690,32.057,0.080957
0.700,49.976,0.136938
0.710,49.739,0.563122
0.720,49.757,0.420472
0.730,50.088,0.305629
0.740,49.658,0.061234
0.750,51.041,0.025527
0.760,49.514,0.036705
0.770,145.992,0.061323
0.780,51.917,0.140537
0.790,51.296,0.096728
0.800,49.817,0.413038
0.810,49.240,0.716970
0.820,49.330,0.609671
0.830,49.532,0.615576
0.840,49.435,0.109011
0.850,49.616,0.057233
0.860,49.607,0.040326
0.870,1036.083,0.057374
0.880,1975.614,0.040778
0.890,991.756,0.018024
0.900,160.224,0.011473
0.910,536.268,0.022049
0.920,539.417,0.149072
0.930,548.028,0.150080
0.940,546.408,0.285269
0.950,534.418,0.318676
0.960,507.977,0.752009
0.970,506.969,0.917836
0.980,508.153,0.935654
0.990,511.851,0.940579
1.000,518.140,0.923637
1.010,522.641,0.931308
1.020,524.807,0.956055
1.030,526.560,0.953706
1.040,527.535,0.947394
1.050,527.770,0.947055
1.060,527.772,0.940116
1.070,529.153,0.913913
1.080,529.214,0.894842
1.090,526.335,0.915434
1.100,524.016,0.891362
1.110,525.659,0.892804
1.120,527.423,0.890479
1.130,527.333,0.888545
1.140,527.894,0.860726
1.150,528.533,0.874034
1.160,527.727,0.901866
1.170,526.799,0.889862
1.180,526.972,0.808491
1.190,530.746,0.646409
1.200,533.674,0.392715
1.210,488.012,0.225268
1.220,470.143,0.545247
1.230,466.743,0.826662
1.240,466.548,0.934590
1.250,467.510,0.971059
1.260,468.858,0.974505
1.270,469.873,0.960301
1.280,469.804,0.964104
1.290,469.622,0.965274
1.300,469.470,0.968940
1.310,469.719,0.966920
1.320,470.440,0.954859
1.330,471.158,0.953308
1.340,471.893,0.963178
1.350,471.851,0.952908
1.360,470.249,0.918312
1.370,467.402,0.888259
1.380,468.667,0.623304
1.390,512.357,0.720704
1.400,515.286,0.891487
1.410,515.509,0.921439
1.420,517.384,0.932076
1.430,520.104,0.945345
1.440,521.554,0.932249
1.450,522.709,0.943776
1.460,523.540,0.956018
1.470,523.350,0.954757
1.480,522.956,0.953053
1.490,522.496,0.946362
1.500,522.278,0.943094
1.510,521.961,0.935267
1.520,521.926,0.933405
1.530,522.151,0.938893
1.540,522.371,0.943685
1.550,522.488,0.946895
1.560,522.580,0.946840
1.570,522.717,0.949236
1.580,522.585,0.948548
1.590,522.382,0.945899
1.600,522.129,0.939652
1.610,522.304,0.942320
1.620,522.662,0.949178
1.630,522.966,0.952219
1.640,523.432,0.957760
1.650,523.720,0.959024
1.660,524.169,0.963941
1.670,524.254,0.963788
1.680,524.232,0.964396
1.690,524.105,0.963048
1.700,524.104,0.964594
1.710,523.869,0.963148
1.720,523.919,0.963469
1.730,524.062,0.962933
1.740,524.469,0.966138
1.750,524.679,0.966711
1.760,524.831,0.966290
1.770,524.905,0.966030
1.780,525.021,0.967216
1.790,524.988,0.966514
1.800,525.069,0.966297
1.810,525.161,0.965069
1.820,525.485,0.965830
1.830,525.669,0.964882
1.840,525.736,0.963757
1.850,525.680,0.963487
1.860,525.641,0.964701
1.870,525.339,0.965024
1.880,524.952,0.965240
1.890,524.559,0.963591
1.900,524.389,0.964480
1.910,524.201,0.962906
1.920,524.122,0.963261
1.930,523.990,0.961004
1.940,523.988,0.962352
1.950,523.686,0.959760
1.960,523.379,0.958187
1.970,523.211,0.954739
1.980,523.501,0.958611
1.990,523.868,0.960353
2.000,524.350,0.962331
2.010,524.628,0.963043
2.020,524.718,0.964428
2.030,524.467,0.964107
2.040,524.060,0.962884
2.050,523.712,0.960007
2.060,523.851,0.962149
2.070,524.219,0.963738
2.080,524.906,0.965213
2.090,525.640,0.963320
2.100,526.549,0.959159
2.110,527.367,0.952155
2.120,527.896,0.943825
2.130,528.341,0.936582
2.140,528.809,0.926941
2.150,529.252,0.926609
2.160,529.675,0.936844
2.170,530.053,0.938670
2.180,529.847,0.934959
2.190,528.996,0.919153
2.200,527.561,0.947924
2.210,525.846,0.963516
2.220,524.463,0.964993
2.230,523.213,0.957385
2.240,522.527,0.947517
2.250,522.227,0.943062
2.260,522.487,0.947133
2.270,523.351,0.956143
2.280,524.682,0.960601
2.290,527.005,0.952271
2.300,529.132,0.921066
2.310,530.726,0.951316
2.320,531.605,0.956602
2.330,531.159,0.951716
2.340,529.008,0.918884
2.350,526.102,0.959031
2.360,524.417,0.957023
2.370,522.922,0.936378
2.380,522.643,0.921469
2.390,524.535,0.885601
2.400,529.718,0.839027
2.410,528.615,0.815995
2.420,525.548,0.835469
2.430,524.067,0.768962
2.440,524.728,0.719029
2.450,526.961,0.664817
2.460,529.491,0.596579
2.470,533.152,0.379844
2.480,533.666,0.262291
2.490,463.474,0.330969
2.500,460.810,0.713736
2.510,460.821,0.885503
2.520,462.213,0.939115
2.530,466.172,0.945351
2.540,470.202,0.957826
2.550,472.351,0.956894
2.560,473.487,0.963306
2.570,474.230,0.968671
2.580,474.461,0.969148
2.590,473.199,0.941783
2.600,470.553,0.790689
2.610,471.641,0.548177
2.620,532.986,0.276780
2.630,522.212,0.746521
2.640,522.805,0.898577
2.650,523.401,0.947011
2.660,523.649,0.957066
2.670,523.603,0.959075
2.680,523.894,0.960199
2.690,523.907,0.962511
2.700,523.594,0.960954
2.710,523.404,0.960185
2.720,523.289,0.958685
2.730,523.953,0.964209
2.740,523.646,0.955281
2.750,521.273,0.900219
