time,frequency,confidence
0.000,138.087,0.517329
0.010,139.194,0.775216
0.020,140.850,0.877743
0.030,142.445,0.892611
0.040,145.628,0.858877
0.050,150.920,0.801702
0.060,158.693,0.634446
0.070,165.042,0.885932
0.080,169.021,0.845899
0.090,173.409,0.880696
0.100,177.795,0.855748
0.110,181.691,0.895684
0.120,184.991,0.928614
0.130,188.130,0.929962
0.140,190.075,0.938416
0.150,192.730,0.933775
0.160,194.494,0.955233
0.170,195.123,0.961276
0.180,194.819,0.965239
0.190,193.652,0.916508
0.200,190.152,0.757915
0.210,185.863,0.700846
0.220,179.407,0.508115
0.230,174.277,0.554022
0.240,172.515,0.609868
0.250,173.456,0.723293
0.260,175.798,0.813117
0.270,178.097,0.851613
0.280,180.467,0.884271
0.290,182.475,0.892285
0.300,185.314,0.942022
0.310,187.605,0.917226
0.320,188.643,0.886895
0.330,189.466,0.918545
0.340,189.787,0.916379
0.350,189.728,0.914633
0.360,189.568,0.916821
0.370,190.498,0.920118
0.380,192.033,0.921602
0.390,193.428,0.886481
0.400,195.128,0.925070
0.410,196.010,0.922891
0.420,196.614,0.935443
0.430,196.581,0.916615
0.440,196.106,0.902859
0.450,195.065,0.915641
0.460,193.657,0.883195
0.470,192.493,0.886442
0.480,190.884,0.854789
0.490,188.325,0.850783
0.500,185.827,0.816034
0.510,182.901,0.709013
0.520,170.559,0.405289
0.530,166.975,0.775914
0.540,168.180,0.811098
0.550,170.693,0.828315
0.560,173.551,0.879591
0.570,176.810,0.849864
0.580,181.474,0.794283
0.590,189.100,0.777497
0.600,193.457,0.885719
0.610,195.862,0.925873
0.620,195.881,0.938891
0.630,193.269,0.848720
0.640,187.705,0.745412
0.650,180.753,0.736106
0.660,175.168,0.882839
0.670,173.436,0.941653
0.680,173.888,0.901006
0.690,177.435,0.798525
0.700,184.476,0.608836
0.710,195.687,0.600218
0.720,202.592,0.801549
0.730,205.287,0.939547
0.740,205.235,0.923326
0.750,201.642,0.658504
0.760,188.062,0.440456
0.770,178.253,0.491912
0.780,171.643,0.770937
0.790,168.929,0.862518
0.800,168.249,0.855853
0.810,171.417,0.641392
0.820,175.857,0.423097
0.830,191.948,0.589669
0.840,201.294,0.710789
0.850,204.641,0.886898
0.860,204.312,0.814697
0.870,201.807,0.599774
0.880,195.321,0.405807
0.890,188.164,0.722444
0.900,184.511,0.640072
0.910,168.474,0.431352
0.920,160.992,0.537093
0.930,156.543,0.715003
0.940,154.372,0.770138
0.950,154.117,0.453690
0.960,156.528,0.333259
0.970,193.825,0.621967
0.980,196.305,0.605004
0.990,200.494,0.581122
1.000,205.113,0.700407
1.010,210.996,0.716439
1.020,220.123,0.861277
1.030,224.552,0.891687
1.040,228.347,0.926281
1.050,230.898,0.914160
1.060,232.419,0.901068
1.070,232.021,0.912088
1.080,230.260,0.881957
1.090,228.516,0.918855
1.100,227.504,0.910112
1.110,226.919,0.915044
1.120,226.410,0.929871
1.130,225.801,0.909178
1.140,224.899,0.818958
1.150,224.680,0.608240
1.160,236.503,0.392305
1.170,239.737,0.637114
1.180,239.559,0.672294
1.190,240.221,0.503778
1.200,239.462,0.157667
1.210,452.557,0.495202
1.220,451.369,0.617006
1.230,454.733,0.517026
1.240,459.227,0.583092
1.250,461.556,0.545283
1.260,455.710,0.447647
1.270,452.913,0.634404
1.280,451.713,0.839054
1.290,451.249,0.866590
1.300,450.119,0.766798
1.310,451.336,0.568751
1.320,230.598,0.432110
1.330,232.331,0.543233
1.340,232.374,0.675102
1.350,228.279,0.681759
1.360,225.275,0.811901
1.370,224.362,0.781498
1.380,225.116,0.536488
1.390,447.031,0.426600
1.400,445.952,0.609969
1.410,448.719,0.778728
1.420,450.153,0.855071
1.430,451.366,0.901248
1.440,451.493,0.793005
1.450,450.263,0.727608
1.460,448.246,0.574703
1.470,446.751,0.482576
1.480,447.599,0.384692
1.490,451.057,0.675897
1.500,451.514,0.739218
1.510,449.463,0.677924
1.520,448.355,0.554765
1.530,448.197,0.551378
1.540,450.532,0.356772
1.550,448.410,0.314387
1.560,450.164,0.508009
1.570,451.021,0.726354
1.580,452.230,0.869938
1.590,449.954,0.815836
1.600,448.697,0.698962
1.610,452.662,0.448428
1.620,454.796,0.261328
1.630,118.665,0.351311
1.640,453.790,0.281111
1.650,454.878,0.335604
1.660,455.053,0.380737
1.670,454.492,0.503181
1.680,451.814,0.521182
1.690,447.617,0.181015
1.700,443.744,0.062893
1.710,138.270,0.081554
1.720,445.178,0.187803
1.730,78.176,0.100752
1.740,136.290,0.031995
1.750,1159.068,0.013575
1.760,1250.589,0.012654
1.770,1303.164,0.006296
1.780,135.203,0.268680
1.790,127.288,0.527597
1.800,121.799,0.535894
1.810,119.683,0.671193
1.820,117.639,0.716460
1.830,115.372,0.839805
1.840,114.501,0.803055
1.850,115.309,0.819726
1.860,117.137,0.682106
1.870,122.149,0.384897
1.880,126.196,0.272366
1.890,154.194,0.312203
1.900,167.162,0.622371
1.910,172.720,0.594068
1.920,174.722,0.761092
1.930,172.593,0.823724
1.940,170.453,0.739667
1.950,168.341,0.743461
1.960,165.150,0.651200
1.970,163.306,0.539277
1.980,139.409,0.217942
1.990,165.428,0.184817
2.000,168.763,0.270388
2.010,171.200,0.458143
2.020,174.367,0.574166
2.030,167.836,0.250582
2.040,134.239,0.473321
2.050,132.246,0.584883
2.060,132.227,0.812878
2.070,132.047,0.888417
2.080,132.442,0.904978
2.090,132.346,0.909145
2.100,131.376,0.923608
2.110,130.259,0.874771
2.120,129.696,0.878097
2.130,129.984,0.846503
2.140,131.190,0.807553
2.150,134.003,0.649592
2.160,141.012,0.324661
2.170,161.972,0.361639
2.180,166.099,0.310011
2.190,190.296,0.391908
2.200,194.568,0.645590
2.210,199.659,0.819806
2.220,201.156,0.914501
2.230,199.256,0.854415
2.240,195.056,0.819370
2.250,190.551,0.782445
2.260,186.571,0.849902
2.270,183.815,0.925091
2.280,183.390,0.927460
2.290,184.381,0.897039
2.300,186.414,0.852810
2.310,189.274,0.870967
2.320,191.332,0.845261
2.330,192.076,0.891551
2.340,191.217,0.859611
2.350,188.819,0.866413
2.360,186.027,0.906069
2.370,183.849,0.888892
2.380,181.780,0.858139
2.390,179.136,0.816538
