time,frequency,confidence
0.000,96.919,0.039250
0.010,96.919,0.039250
0.020,96.919,0.039250
0.030,96.919,0.039250
0.040,96.919,0.039250
0.050,96.919,0.039250
0.060,96.919,0.039250
0.070,96.919,0.039250
0.080,96.919,0.039250
0.090,97.479,0.060964
0.100,97.040,0.088633
0.110,95.252,0.094024
0.120,276.325,0.137386
0.130,547.126,0.141317
0.140,547.617,0.129311
0.150,546.264,0.086123
0.160,547.136,0.068813
0.170,547.471,0.029715
0.180,548.273,0.020388
0.190,545.822,0.012901
0.200,550.280,0.027703
0.210,572.698,0.136250
0.220,1163.158,0.061247
0.230,47.455,0.025712
0.240,48.392,0.038854
0.250,143.932,0.089519
0.260,48.807,0.208736
0.270,49.276,0.095699
0.280,49.691,0.068670
0.290,51.048,0.099609
0.300,50.284,0.090006
0.310,49.823,0.157121
0.320,49.663,0.397329
0.330,50.081,0.328160
0.340,50.550,0.551405
0.350,49.501,0.448191
0.360,49.444,0.452414
0.370,49.935,0.105958
0.380,50.552,0.453503
0.390,50.845,0.585922
0.400,50.581,0.500376
0.410,49.958,0.408063
0.420,49.785,0.679205
0.430,49.905,0.639803
0.440,49.853,0.436705
0.450,50.088,0.553710
0.460,50.347,0.375664
0.470,50.718,0.250852
0.480,50.140,0.173232
0.490,51.281,0.014464
0.500,32.173,0.025920
0.510,50.594,0.053737
0.520,49.426,0.126006
0.530,49.274,0.078830
0.540,48.944,0.108171
0.550,49.673,0.046594
0.560,51.306,0.171484
0.570,51.918,0.119005
0.580,50.329,0.176504
0.590,156.000,0.103419
0.600,49.465,0.252347
0.610,49.885,0.268527
0.620,51.132,0.143165
0.630,50.437,0.239243
0.640,50.824,0.104093
0.650,50.491,0.111596
0.660,49.538,0.220124
0.670,49.303,0.015284
0.680,49.278,0.047524
0.690,144.575,0.045308
0.700,145.709,0.051159
0.710,1186.745,0.094779
0.720,1201.015,0.034926
0.730,49.115,0.185436
0.740,49.436,0.438200
0.750,49.886,0.539078
0.760,50.302,0.074654
0.770,154.107,0.016129
0.780,154.284,0.110374
0.790,345.313,0.112467
0.800,151.806,0.147549
0.810,147.170,0.138419
0.820,147.227,0.146053
0.830,657.938,0.066772
0.840,658.140,0.012568
0.850,1315.342,0.025551
0.860,50.137,0.021836
0.870,49.396,0.065597
0.880,1022.408,0.027307
0.890,49.805,0.095969
0.900,152.347,0.069408
0.910,149.667,0.100516
0.920,149.129,0.077530
0.930,395.167,0.029542
0.940,430.076,0.044471
0.950,1286.547,0.060670
0.960,1301.263,0.023106
0.970,644.448,0.051498
0.980,156.326,0.090813
0.990,148.619,0.131600
1.000,399.257,0.158878
1.010,157.447,0.141941
1.020,1174.155,0.105585
1.030,51.589,0.092064
1.040,51.599,0.095456
1.050,1177.633,0.057880
1.060,50.031,0.189046
1.070,49.653,0.074662
1.080,50.355,0.143133
1.090,154.187,0.144172
1.100,156.609,0.070313
1.110,157.709,0.092748
1.120,591.238,0.091185
1.130,590.411,0.159127
1.140,398.838,0.337102
1.150,399.887,0.292949
1.160,154.727,0.146872
1.170,153.228,0.090672
1.180,153.810,0.053226
1.190,151.747,0.043647
1.200,49.885,0.066826
1.210,49.270,0.432634
1.220,49.056,0.326188
1.230,48.831,0.252139
1.240,48.850,0.312508
1.250,48.681,0.344605
1.260,48.838,0.374824
1.270,49.380,0.051202
1.280,50.062,0.262906
1.290,50.112,0.424692
1.300,49.598,0.391043
1.310,49.280,0.515271
1.320,49.376,0.217029
1.330,49.269,0.172593
1.340,152.243,0.060170
1.350,244.012,0.059581
1.360,152.483,0.054810
1.370,381.109,0.073724
1.380,1028.333,0.030924
1.390,1035.387,0.030029
1.400,1428.284,0.036439
1.410,155.996,0.042178
1.420,155.589,0.111993
1.430,289.232,0.068635
1.440,157.433,0.080990
1.450,149.578,0.071022
1.460,153.472,0.126207
1.470,50.162,0.278976
1.480,50.180,0.184502
1.490,49.867,0.077802
1.500,49.838,0.105835
1.510,49.945,0.187363
1.520,49.898,0.442668
1.530,49.568,0.360914
1.540,49.309,0.417559
1.550,49.156,0.210320
1.560,49.325,0.104619
1.570,49.561,0.087515
1.580,49.792,0.158163
1.590,49.894,0.175938
1.600,49.649,0.391016
1.610,49.320,0.289856
1.620,49.322,0.465147
1.630,49.313,0.044748
1.640,49.703,0.036518
1.650,49.406,0.056429
1.660,154.239,0.048044
1.670,49.313,0.099889
1.680,153.859,0.067269
1.690,50.181,0.112059
1.700,49.956,0.180317
1.710,442.061,0.025189
1.720,152.471,0.037747
1.730,147.114,0.052198
1.740,49.528,0.101428
1.750,50.617,0.067476
1.760,50.408,0.441187
1.770,50.520,0.411799
1.780,51.055,0.207367
1.790,51.773,0.065497
1.800,51.275,0.053514
1.810,147.720,0.021449
1.820,149.192,0.036718
1.830,49.311,0.015889
1.840,49.298,0.057509
1.850,49.382,0.049264
1.860,50.112,0.251671
1.870,50.969,0.051857
1.880,49.822,0.266587
1.890,51.329,0.034974
1.900,396.564,0.043098
1.910,147.468,0.056083
1.920,147.580,0.130878
1.930,148.141,0.173782
1.940,155.242,0.110035
1.950,50.416,0.136521
1.960,50.275,0.142493
1.970,49.755,0.418247
1.980,49.935,0.098485
1.990,49.860,0.184256
2.000,49.897,0.102668
2.010,49.534,0.163452
2.020,49.349,0.304376
2.030,338.894,0.069889
2.040,394.087,0.030073
2.050,387.626,0.041018
2.060,152.565,0.052209
2.070,658.697,0.069152
2.080,656.646,0.075755
2.090,594.029,0.116290
2.100,594.771,0.206909
2.110,590.694,0.136648
2.120,393.919,0.117269
2.130,587.785,0.053568
2.140,1175.726,0.040088
2.150,1177.578,0.066452
2.160,1177.302,0.089991
2.170,1175.754,0.130738
2.180,1177.676,0.068027
2.190,589.382,0.063351
2.200,1176.598,0.057946
2.210,591.688,0.042521
2.220,398.077,0.072358
2.230,148.073,0.054151
2.240,152.676,0.070727
2.250,152.457,0.063744
2.260,152.183,0.097299
2.270,149.537,0.085940
2.280,49.592,0.063455
2.290,49.688,0.018228
2.300,49.439,0.065947
2.310,50.037,0.150845
2.320,49.790,0.212072
2.330,50.525,0.143650
2.340,50.725,0.124397
2.350,50.294,0.071865
2.360,49.679,0.219311
2.370,49.500,0.144059
2.380,49.519,0.151922
2.390,49.569,0.073275
2.400,49.742,0.023235
2.410,49.378,0.040423
2.420,49.243,0.082197
2.430,50.325,0.236319
2.440,50.028,0.092907
2.450,49.608,0.065873
2.460,151.972,0.027205
2.470,333.079,0.059952
2.480,152.862,0.073050
2.490,670.315,0.071299
2.500,1032.452,0.052598
2.510,661.967,0.067719
2.520,143.958,0.039660
2.530,395.477,0.077317
2.540,395.718,0.063732
2.550,158.190,0.064006
2.560,158.116,0.074516
2.570,147.097,0.116384
2.580,146.590,0.075557
2.590,50.821,0.057839
2.600,50.116,0.105543
2.610,49.998,0.405436
2.620,49.867,0.010130
2.630,147.520,0.023482
2.640,150.732,0.058184
2.650,147.890,0.057497
2.660,150.444,0.193055
2.670,151.683,0.140156
2.680,49.351,0.116415
2.690,49.171,0.040012
2.700,49.002,0.578782
2.710,49.313,0.077064
2.720,51.002,0.052115
2.730,32.144,0.037388
2.740,50.928,0.121488
