time,frequency,confidence
0.000,32.256,0.007542
0.010,182.779,0.011692
0.020,32.195,0.042182
0.030,180.998,0.205377
0.040,59.890,0.680713
0.050,59.923,0.729702
0.060,59.992,0.682719
0.070,59.810,0.669634
0.080,179.907,0.711109
0.090,60.052,0.576036
0.100,180.365,0.783318
0.110,179.579,0.812954
0.120,179.596,0.814181
0.130,179.775,0.773572
0.140,59.956,0.709759
0.150,60.088,0.684033
0.160,60.078,0.720885
0.170,59.737,0.720841
0.180,59.850,0.674412
0.190,60.038,0.689231
0.200,180.747,0.683773
0.210,60.131,0.637858
0.220,59.869,0.675654
0.230,59.922,0.689411
0.240,59.899,0.794004
0.250,60.049,0.736032
0.260,60.031,0.819553
0.270,59.933,0.812105
0.280,60.023,0.745272
0.290,59.872,0.758375
0.300,59.766,0.733307
0.310,59.818,0.769655
0.320,59.740,0.691288
0.330,60.088,0.685581
0.340,60.317,0.674640
0.350,181.059,0.669223
0.360,60.122,0.690460
0.370,59.663,0.668525
0.380,59.883,0.648953
0.390,60.117,0.724345
0.400,180.289,0.679756
0.410,59.876,0.675396
0.420,59.576,0.688066
0.430,59.651,0.724687
0.440,59.778,0.777902
0.450,59.889,0.706166
0.460,59.905,0.741717
0.470,59.769,0.784920
0.480,59.936,0.720202
0.490,60.106,0.787291
0.500,60.179,0.712983
0.510,60.042,0.711342
0.520,59.610,0.702711
0.530,59.761,0.701926
0.540,59.931,0.742608
0.550,59.938,0.730116
0.560,59.874,0.803294
0.570,59.709,0.781534
0.580,59.918,0.756579
0.590,60.116,0.646007
0.600,60.137,0.624142
0.610,60.127,0.722884
0.620,59.926,0.714971
0.630,60.022,0.713254
0.640,60.069,0.718738
0.650,60.015,0.682181
0.660,59.979,0.724462
0.670,59.790,0.681283
0.680,179.472,0.681381
0.690,59.892,0.713849
0.700,60.052,0.730132
0.710,60.020,0.683253
0.720,59.729,0.654953
0.730,179.151,0.645891
0.740,59.872,0.699869
0.750,60.028,0.705265
0.760,60.086,0.717605
0.770,60.006,0.712098
0.780,60.084,0.658415
0.790,60.101,0.702461
0.800,60.041,0.694728
0.810,60.037,0.724314
0.820,59.812,0.718939
0.830,59.909,0.789832
0.840,59.934,0.809618
0.850,59.961,0.774802
0.860,59.909,0.822092
0.870,59.674,0.802222
0.880,59.832,0.764481
0.890,59.811,0.725244
0.900,59.875,0.732517
0.910,59.863,0.733463
0.920,59.678,0.782112
0.930,59.892,0.766199
0.940,60.131,0.743266
0.950,60.093,0.734735
0.960,60.021,0.743937
0.970,59.744,0.740287
0.980,59.965,0.751001
0.990,59.986,0.800965
1.000,59.997,0.727939
1.010,60.022,0.718868
1.020,59.986,0.658202
1.030,60.112,0.651181
1.040,60.076,0.719180
1.050,59.943,0.721904
1.060,59.858,0.765338
1.070,59.769,0.781723
1.080,59.948,0.735655
1.090,59.970,0.760175
1.100,60.049,0.733259
1.110,60.051,0.738882
1.120,59.762,0.729702
1.130,60.028,0.735769
1.140,59.925,0.749384
1.150,59.913,0.668796
1.160,59.971,0.730697
1.170,59.830,0.776615
1.180,59.964,0.729902
1.190,60.068,0.734531
1.200,60.040,0.755620
1.210,60.078,0.772241
1.220,59.856,0.802162
1.230,59.991,0.731018
1.240,60.019,0.730984
1.250,59.911,0.809791
1.260,59.927,0.741914
1.270,59.729,0.752871
1.280,59.969,0.695846
1.290,60.133,0.634850
1.300,180.026,0.665019
1.310,60.012,0.705503
1.320,59.744,0.775550
1.330,59.985,0.756330
1.340,60.062,0.790941
