time,frequency,confidence
0.000,1823.645,0.014275
0.010,919.436,0.011931
0.020,1824.909,0.016116
0.030,1821.325,0.024900
0.040,75.152,0.031928
0.050,32.238,0.024569
0.060,32.194,0.059210
0.070,31.989,0.051578
0.080,32.061,0.035644
0.090,1819.475,0.009085
0.100,1186.339,0.037777
0.110,1206.625,0.037112
0.120,1000.714,0.019960
0.130,1853.841,0.008716
0.140,1858.409,0.017716
0.150,1856.595,0.035784
0.160,1856.264,0.038407
0.170,34.090,0.049818
0.180,32.811,0.029569
0.190,33.249,0.074539
0.200,33.453,0.015487
0.210,1225.995,0.009708
0.220,1222.569,0.036374
0.230,1196.225,0.044581
0.240,1186.321,0.065479
0.250,1192.134,0.037809
0.260,794.234,0.011503
0.270,787.585,0.007182
0.280,34.292,0.022531
0.290,33.948,0.038444
0.300,33.023,0.036086
0.310,32.690,0.042677
0.320,45.355,0.089375
0.330,45.899,0.056364
0.340,887.972,0.013752
0.350,939.442,0.054480
0.360,889.665,0.033561
0.370,1834.044,0.013570
0.380,36.229,0.012219
0.390,32.289,0.013477
0.400,34.550,0.089874
0.410,34.118,0.030492
0.420,1327.116,0.066485
0.430,79.063,0.034787
0.440,1713.475,0.036534
0.450,1195.256,0.018851
0.460,1171.793,0.022247
0.470,1962.137,0.005026
0.480,33.259,0.012738
0.490,32.766,0.050775
0.500,32.917,0.027163
0.510,33.196,0.033365
0.520,33.147,0.060642
0.530,32.474,0.034624
0.540,1795.518,0.010516
0.550,1799.119,0.022514
0.560,33.843,0.012039
0.570,32.222,0.034607
0.580,32.244,0.057530
0.590,33.055,0.008162
0.600,1850.128,0.007176
0.610,1167.987,0.016262
0.620,35.345,0.029098
0.630,41.757,0.023218
0.640,32.724,0.018869
0.650,32.309,0.074699
0.660,32.548,0.061435
0.670,32.614,0.089643
0.680,219.738,0.023523
0.690,32.278,0.009576
0.700,1009.536,0.007052
0.710,982.627,0.008478
0.720,32.220,0.005601
0.730,47.626,0.089264
0.740,48.242,0.091302
0.750,50.268,0.070904
0.760,50.373,0.096316
0.770,1085.590,0.015982
0.780,1108.115,0.023221
0.790,1787.993,0.017447
0.800,1827.830,0.009300
0.810,1237.303,0.009489
0.820,54.648,0.007624
0.830,1884.447,0.004978
0.840,1852.342,0.007107
0.850,47.654,0.047107
0.860,36.038,0.053577
0.870,39.141,0.014465
0.880,39.368,0.041733
0.890,1258.918,0.010908
0.900,1291.363,0.011107
0.910,1849.059,0.007547
0.920,32.868,0.040361
0.930,32.418,0.021593
0.940,32.460,0.012224
0.950,32.398,0.006591
0.960,34.912,0.011122
0.970,35.534,0.172916
0.980,35.704,0.054603
0.990,33.093,0.009912
1.000,1209.588,0.014319
1.010,1848.922,0.009342
1.020,944.086,0.028531
1.030,948.686,0.034306
1.040,1793.729,0.020088
1.050,32.775,0.059629
1.060,32.548,0.062278
1.070,32.411,0.015767
1.080,34.358,0.016141
1.090,34.443,0.067943
1.100,39.501,0.071902
1.110,39.513,0.094079
1.120,44.385,0.017817
1.130,1854.731,0.020797
1.140,33.863,0.046867
1.150,33.600,0.035623
1.160,32.800,0.034877
1.170,48.174,0.052460
1.180,32.240,0.020904
1.190,32.290,0.026590
1.200,33.142,0.129523
1.210,80.569,0.054405
1.220,893.140,0.025789
1.230,882.067,0.016353
1.240,32.535,0.009794
1.250,32.324,0.008778
1.260,1844.100,0.008156
1.270,34.264,0.102220
1.280,34.098,0.205805
1.290,33.981,0.155207
1.300,33.841,0.018154
1.310,1881.634,0.008512
1.320,936.864,0.010966
1.330,931.348,0.031757
1.340,33.808,0.036762
1.350,32.913,0.018535
1.360,1173.495,0.013331
1.370,32.329,0.012168
1.380,32.557,0.117709
1.390,32.839,0.032654
1.400,336.361,0.039233
1.410,950.506,0.052278
1.420,948.138,0.072894
1.430,949.665,0.049441
1.440,46.347,0.030421
1.450,32.313,0.012765
1.460,32.250,0.014485
1.470,32.473,0.050928
1.480,32.392,0.005737
1.490,1172.612,0.003170
