time,frequency,confidence
0.000,32.264,0.029991
0.010,59.825,0.280158
0.020,59.636,0.688502
0.030,59.525,0.757953
0.040,59.879,0.788443
0.050,59.871,0.820733
0.060,59.917,0.865775
0.070,59.695,0.884836
0.080,59.740,0.834046
0.090,60.098,0.682653
0.100,59.793,0.554240
0.110,59.722,0.510381
0.120,59.224,0.578487
0.130,59.250,0.648924
0.140,59.812,0.462292
0.150,59.580,0.591990
0.160,59.467,0.590174
0.170,59.436,0.720037
0.180,59.957,0.748125
0.190,60.546,0.684170
0.200,60.363,0.753253
0.210,60.161,0.658531
0.220,59.707,0.796625
0.230,59.443,0.806589
0.240,59.796,0.786289
0.250,59.704,0.746672
0.260,59.736,0.737813
0.270,59.640,0.775540
0.280,59.456,0.741172
0.290,60.127,0.769719
0.300,60.322,0.719294
0.310,60.115,0.754906
0.320,59.632,0.774573
0.330,59.326,0.788541
0.340,59.865,0.817500
0.350,59.950,0.716914
0.360,59.952,0.700332
0.370,59.649,0.542275
0.380,59.397,0.554966
0.390,59.832,0.618631
0.400,59.842,0.710068
0.410,59.697,0.791730
0.420,59.455,0.821548
0.430,59.629,0.799332
0.440,60.000,0.837892
0.450,60.410,0.714223
0.460,60.510,0.628688
0.470,59.969,0.369343
0.480,59.652,0.603615
0.490,59.707,0.763802
0.500,59.408,0.759576
0.510,59.443,0.776848
0.520,59.555,0.740764
0.530,59.640,0.762699
0.540,60.009,0.856104
0.550,59.990,0.841279
0.560,59.924,0.843750
0.570,59.836,0.833007
0.580,59.626,0.694816
0.590,59.762,0.812382
0.600,59.956,0.775564
0.610,60.047,0.820465
0.620,59.968,0.765426
0.630,59.752,0.812896
0.640,59.916,0.842675
0.650,59.814,0.816657
0.660,60.080,0.820647
0.670,59.914,0.842965
0.680,59.641,0.861522
0.690,59.970,0.835198
0.700,59.648,0.789497
0.710,59.449,0.829479
0.720,59.626,0.679557
0.730,59.795,0.694303
0.740,60.033,0.784593
0.750,59.888,0.842526
0.760,59.846,0.860728
0.770,59.831,0.831727
0.780,59.767,0.791077
0.790,59.886,0.771849
0.800,59.672,0.765783
0.810,59.620,0.804783
0.820,59.639,0.777209
0.830,59.726,0.774154
0.840,60.164,0.805698
0.850,59.865,0.823073
0.860,59.964,0.825950
0.870,59.960,0.693670
0.880,59.738,0.740954
0.890,60.048,0.778327
0.900,60.064,0.766479
0.910,60.175,0.756265
0.920,59.907,0.632468
0.930,59.737,0.681969
0.940,59.974,0.614838
0.950,59.937,0.709872
0.960,59.898,0.784654
0.970,59.642,0.698088
0.980,59.617,0.800265
0.990,59.839,0.837805
1.000,59.753,0.832564
1.010,59.841,0.834386
1.020,60.111,0.698529
1.030,60.038,0.732833
1.040,60.354,0.722097
1.050,59.980,0.828762
1.060,59.862,0.863845
1.070,59.883,0.847979
1.080,59.915,0.850799
1.090,60.124,0.826858
1.100,60.002,0.851063
1.110,59.966,0.819102
1.120,59.800,0.838145
1.130,59.792,0.813101
1.140,60.207,0.805009
1.150,59.841,0.809864
1.160,59.650,0.756128
1.170,59.527,0.723549
1.180,59.671,0.637938
1.190,59.866,0.766150
1.200,59.884,0.764843
1.210,59.746,0.819034
1.220,59.683,0.804083
1.230,59.764,0.816382
1.240,60.115,0.806069
1.250,60.044,0.777132
1.260,59.850,0.773328
1.270,59.650,0.631289
1.280,59.389,0.732587
1.290,59.684,0.738297
1.300,59.753,0.793255
1.310,59.875,0.832177
1.320,59.948,0.834408
1.330,60.087,0.834034
1.340,60.400,0.819452
1.350,59.950,0.843075
1.360,59.799,0.876482
1.370,59.718,0.882834
1.380,59.753,0.885264
1.390,60.059,0.849422
1.400,59.982,0.848699
1.410,59.868,0.854814
1.420,59.675,0.777582
1.430,59.477,0.827362
1.440,59.831,0.732916
1.450,59.811,0.670830
1.460,59.830,0.767670
1.470,59.917,0.650877
1.480,59.913,0.768719
1.490,60.132,0.750630
1.500,59.786,0.815862
1.510,60.050,0.810102
1.520,60.412,0.727884
1.530,60.023,0.708914
1.540,60.178,0.659224
1.550,59.376,0.757866
1.560,59.327,0.780499
1.570,59.359,0.816674
1.580,59.630,0.787253
1.590,59.937,0.796275
1.600,59.994,0.784363
1.610,59.815,0.815863
1.620,59.656,0.820021
1.630,59.604,0.808260
1.640,59.917,0.817515
1.650,59.832,0.835366
1.660,59.895,0.841055
1.670,59.889,0.837669
1.680,59.805,0.801556
1.690,60.101,0.801508
1.700,59.893,0.841256
1.710,59.857,0.838076
1.720,60.046,0.543225
1.730,59.711,0.360469
1.740,59.380,0.204553
1.750,59.205,0.420093
1.760,59.673,0.639483
1.770,59.849,0.515708
1.780,59.962,0.782197
1.790,60.003,0.802172
1.800,59.759,0.822049
1.810,60.076,0.800534
1.820,59.851,0.830407
1.830,59.660,0.825264
1.840,59.888,0.786867
1.850,59.442,0.826923
1.860,59.399,0.766554
1.870,59.395,0.773969
1.880,59.680,0.692290
1.890,60.486,0.722050
1.900,60.355,0.789398
1.910,59.950,0.857788
1.920,59.795,0.817127
1.930,59.573,0.779797
1.940,59.846,0.729484
1.950,59.985,0.683525
1.960,59.922,0.573001
1.970,59.769,0.471448
1.980,59.669,0.503404
1.990,59.964,0.710892
2.000,59.956,0.720674
2.010,59.651,0.758725
2.020,59.336,0.663928
2.030,59.231,0.799050
2.040,59.680,0.809068
2.050,59.789,0.820831
2.060,59.808,0.872267
2.070,59.728,0.816282
2.080,59.386,0.824731
2.090,59.412,0.829206
2.100,59.693,0.828844
2.110,60.065,0.862924
2.120,60.164,0.799286
2.130,59.932,0.821431
2.140,60.201,0.778333
2.150,60.050,0.852643
2.160,59.819,0.888687
2.170,59.795,0.842454
2.180,59.808,0.853800
2.190,59.887,0.820515
2.200,59.908,0.810563
2.210,59.893,0.859344
2.220,59.981,0.840242
2.230,59.894,0.802371
2.240,60.360,0.790086
2.250,60.082,0.809732
2.260,59.567,0.787061
2.270,59.304,0.851321
2.280,59.472,0.746936
2.290,59.839,0.780281
2.300,59.854,0.813504
2.310,59.716,0.844379
2.320,59.694,0.838158
2.330,59.716,0.842434
2.340,60.006,0.829746
2.350,60.167,0.751443
2.360,60.030,0.799976
2.370,59.998,0.785886
2.380,59.734,0.871116
2.390,59.878,0.831485
2.400,59.873,0.807062
2.410,59.699,0.854024
2.420,59.761,0.802650
2.430,59.687,0.848176
2.440,59.898,0.741073
2.450,59.514,0.743482
2.460,59.637,0.659921
2.470,59.614,0.695084
2.480,59.548,0.680942
2.490,59.788,0.671536
2.500,59.730,0.814481
2.510,59.791,0.811722
2.520,59.891,0.827739
2.530,59.818,0.847871
2.540,60.058,0.810750
2.550,59.852,0.817654
2.560,59.766,0.802325
2.570,59.736,0.764712
2.580,59.835,0.802787
2.590,60.100,0.838417
2.600,59.933,0.863707
2.610,59.844,0.875833
2.620,59.619,0.828138
2.630,59.404,0.755256
2.640,59.428,0.728976
2.650,59.589,0.737323
2.660,59.683,0.730569
2.670,59.902,0.764374
2.680,59.900,0.827155
2.690,60.012,0.811178
2.700,59.745,0.826042
2.710,59.382,0.768010
2.720,59.326,0.838006
2.730,59.493,0.777341
2.740,59.939,0.803618
2.750,59.968,0.869663
2.760,59.946,0.720958
2.770,59.820,0.566705
2.780,59.300,0.495071
2.790,59.834,0.711244
2.800,60.033,0.810396
2.810,59.740,0.851862
2.820,59.595,0.833321
2.830,59.746,0.806684
2.840,60.048,0.793367
2.850,59.991,0.810272
2.860,59.883,0.861144
2.870,59.996,0.750823
2.880,59.805,0.826893
2.890,60.005,0.790800
2.900,59.749,0.839336
2.910,59.593,0.779627
2.920,59.401,0.663346
2.930,59.361,0.564269
2.940,59.932,0.709584
2.950,59.774,0.770944
2.960,59.372,0.703048
2.970,59.314,0.790700
2.980,59.251,0.784256
2.990,59.841,0.750217
3.000,59.750,0.807322
3.010,59.586,0.807655
3.020,59.592,0.808800
3.030,59.694,0.797124
3.040,60.138,0.790861
3.050,60.086,0.788876
3.060,59.833,0.833198
3.070,59.662,0.787328
3.080,59.471,0.748671
3.090,59.778,0.796957
3.100,59.714,0.800729
3.110,59.650,0.817701
3.120,59.921,0.847659
3.130,60.174,0.844577
3.140,60.284,0.799895
3.150,59.998,0.827649
3.160,59.628,0.811597
3.170,59.422,0.833746
3.180,59.633,0.786256
3.190,59.911,0.812634
3.200,59.798,0.861211
3.210,59.578,0.837852
3.220,59.772,0.826683
3.230,59.861,0.824574
3.240,59.838,0.838624
3.250,59.407,0.813302
3.260,59.458,0.824490
3.270,59.599,0.774076
3.280,59.763,0.752946
3.290,60.039,0.827791
3.300,59.836,0.827359
3.310,59.595,0.830274
3.320,59.535,0.835012
3.330,59.597,0.817018
3.340,59.872,0.838382
3.350,59.910,0.878750
3.360,59.715,0.876559
3.370,59.828,0.884312
3.380,59.755,0.860958
3.390,59.941,0.765856
3.400,59.799,0.806262
3.410,59.540,0.802420
3.420,59.733,0.757976
3.430,59.662,0.843639
3.440,59.829,0.799642
3.450,59.749,0.811415
3.460,59.491,0.802809
3.470,59.569,0.563521
3.480,59.635,0.692086
3.490,59.599,0.447506
3.500,59.642,0.485043
3.510,59.662,0.506719
3.520,59.891,0.288245
3.530,59.706,0.466988
3.540,59.514,0.320807
3.550,59.388,0.357250
3.560,59.069,0.348697
3.570,59.188,0.528301
3.580,59.388,0.568131
3.590,59.791,0.499902
3.600,59.758,0.571153
3.610,59.421,0.443849
3.620,59.660,0.641253
3.630,59.713,0.641082
3.640,59.838,0.687172
3.650,59.703,0.772682
3.660,59.435,0.784848
3.670,59.544,0.813378
3.680,59.668,0.801744
