time,frequency,confidence
0.000,184.400,0.230479
0.010,182.373,0.544407
0.020,60.024,0.676297
0.030,59.921,0.879474
0.040,59.774,0.879656
0.050,59.913,0.854789
0.060,59.952,0.804079
0.070,59.942,0.787195
0.080,60.002,0.831521
0.090,59.856,0.786561
0.100,59.888,0.770391
0.110,59.850,0.644396
0.120,59.905,0.740159
0.130,60.040,0.778778
0.140,59.847,0.779811
0.150,59.723,0.810596
0.160,59.731,0.738274
0.170,59.872,0.804671
0.180,59.955,0.833427
0.190,59.909,0.807454
0.200,59.942,0.686020
0.210,59.850,0.663772
0.220,59.948,0.792264
0.230,59.882,0.834924
0.240,59.775,0.839181
0.250,59.854,0.806963
0.260,59.899,0.801924
0.270,60.010,0.820634
0.280,60.100,0.828573
0.290,59.992,0.826061
0.300,59.975,0.794287
0.310,59.945,0.715875
0.320,60.093,0.787294
0.330,60.339,0.795655
0.340,60.163,0.759944
0.350,60.154,0.716500
0.360,179.780,0.619434
0.370,59.970,0.761115
0.380,59.942,0.880581
0.390,59.853,0.859375
0.400,59.866,0.816256
0.410,59.769,0.637658
0.420,59.857,0.739938
0.430,60.042,0.842839
0.440,60.027,0.824260
0.450,60.029,0.796820
0.460,59.801,0.728264
0.470,59.758,0.768332
0.480,59.796,0.851602
0.490,59.763,0.848394
0.500,59.766,0.833382
0.510,59.734,0.802188
0.520,59.839,0.846032
0.530,59.870,0.845869
0.540,59.834,0.801700
0.550,59.929,0.755624
0.560,60.115,0.669049
0.570,60.101,0.782197
0.580,60.105,0.855712
0.590,59.943,0.833516
0.600,59.928,0.771697
0.610,60.010,0.686851
0.620,59.937,0.757406
0.630,59.989,0.863024
0.640,59.852,0.845775
0.650,59.922,0.835313
0.660,59.939,0.758266
0.670,59.996,0.825418
0.680,60.104,0.852674
0.690,60.036,0.823846
0.700,59.987,0.776185
0.710,59.911,0.655536
0.720,59.950,0.731309
0.730,60.039,0.796089
0.740,59.870,0.814438
0.750,59.952,0.860514
0.760,59.932,0.849498
