time,frequency,confidence
0.000,655.778,0.123923
0.010,937.363,0.054612
0.020,964.405,0.042748
0.030,59.844,0.046606
0.040,60.088,0.230512
0.050,59.843,0.305734
0.060,59.355,0.200111
0.070,58.970,0.174778
0.080,58.796,0.067505
0.090,59.451,0.113480
0.100,394.845,0.121049
0.110,397.323,0.140238
0.120,396.679,0.117321
0.130,592.238,0.128267
0.140,396.964,0.183209
0.150,396.516,0.194519
0.160,396.592,0.228444
0.170,396.119,0.264287
0.180,395.794,0.179961
0.190,58.497,0.331375
0.200,58.685,0.529120
0.210,58.922,0.617010
0.220,59.180,0.698716
0.230,58.864,0.667668
0.240,59.218,0.558869
0.250,59.264,0.456343
0.260,59.395,0.327686
0.270,59.433,0.274974
0.280,58.980,0.244031
0.290,59.284,0.392365
0.300,59.100,0.622999
0.310,59.265,0.697097
0.320,59.303,0.756556
0.330,59.320,0.756530
0.340,59.398,0.821126
0.350,59.539,0.845886
0.360,59.649,0.865414
0.370,59.671,0.889450
0.380,59.601,0.879055
0.390,59.439,0.853891
0.400,59.572,0.853329
0.410,59.597,0.791915
0.420,59.759,0.787798
0.430,59.774,0.825716
0.440,59.479,0.671385
0.450,59.303,0.809950
0.460,59.057,0.788916
0.470,59.276,0.528151
0.480,59.336,0.352973
0.490,59.521,0.087851
0.500,58.867,0.130403
0.510,59.119,0.106249
0.520,178.350,0.074127
0.530,178.230,0.049391
0.540,177.888,0.047770
0.550,58.687,0.033788
0.560,58.815,0.197743
0.570,59.432,0.079395
0.580,59.501,0.135470
0.590,305.751,0.106587
0.600,349.104,0.088779
0.610,305.115,0.106000
0.620,335.702,0.155169
0.630,331.872,0.128499
0.640,331.784,0.120682
0.650,331.709,0.104738
0.660,330.780,0.088942
0.670,329.892,0.119830
0.680,298.201,0.050595
0.690,58.755,0.043561
0.700,58.937,0.080328
0.710,59.376,0.322998
0.720,60.158,0.229596
0.730,59.837,0.594343
0.740,59.856,0.532195
0.750,59.449,0.515967
0.760,59.375,0.343320
0.770,59.400,0.336614
0.780,58.936,0.282587
0.790,59.288,0.429164
0.800,59.252,0.580580
0.810,59.330,0.499671
0.820,59.350,0.511440
0.830,59.006,0.359617
0.840,59.452,0.376614
0.850,59.200,0.351376
0.860,58.883,0.219326
0.870,58.860,0.196034
0.880,58.673,0.195076
0.890,58.726,0.368492
0.900,58.757,0.446493
0.910,58.918,0.498196
0.920,59.139,0.593875
0.930,59.260,0.575480
0.940,59.357,0.671311
0.950,59.689,0.733108
0.960,59.684,0.642959
0.970,59.712,0.692356
0.980,59.782,0.761968
0.990,59.506,0.737185
1.000,59.725,0.835612
1.010,59.809,0.711331
1.020,59.805,0.632750
1.030,59.757,0.860843
1.040,59.736,0.866958
1.050,59.916,0.900596
1.060,59.774,0.866071
1.070,59.678,0.861912
1.080,59.781,0.850770
1.090,59.702,0.706615
1.100,59.670,0.656908
1.110,59.372,0.559770
1.120,59.484,0.444935
1.130,59.696,0.375631
1.140,59.891,0.320073
1.150,60.034,0.593688
1.160,59.696,0.584274
1.170,59.789,0.486753
1.180,59.355,0.587101
1.190,59.704,0.625943
1.200,59.591,0.616953
1.210,59.301,0.556758
1.220,59.308,0.555444
1.230,59.184,0.558881
1.240,59.472,0.525749
1.250,59.345,0.500379
1.260,59.358,0.296379
1.270,58.861,0.305920
1.280,58.662,0.379964
1.290,58.926,0.477832
1.300,59.156,0.600166
1.310,59.302,0.552049
1.320,59.322,0.650619
1.330,59.470,0.577876
1.340,59.592,0.593271
1.350,59.405,0.365744
1.360,58.924,0.292342
1.370,59.001,0.108274
1.380,58.894,0.211379
1.390,59.858,0.079981
1.400,305.227,0.086875
1.410,305.489,0.149771
1.420,306.050,0.134537
1.430,304.660,0.143100
1.440,331.022,0.130360
1.450,298.262,0.142189
1.460,344.215,0.127654
1.470,332.496,0.141132
1.480,331.927,0.121460
1.490,332.059,0.105350
1.500,332.313,0.114602
1.510,328.493,0.100958
1.520,330.642,0.150273
1.530,326.869,0.088419
1.540,180.571,0.043599
1.550,633.915,0.038561
1.560,59.359,0.058670
1.570,59.583,0.059879
1.580,59.479,0.124746
1.590,60.632,0.150659
1.600,60.067,0.095615
1.610,59.410,0.058492
1.620,394.754,0.095343
1.630,588.316,0.124850
1.640,397.231,0.186021
1.650,397.164,0.200881
1.660,396.787,0.194146
1.670,396.777,0.181929
1.680,58.414,0.189918
1.690,58.522,0.374881
1.700,58.712,0.403317
1.710,58.850,0.586094
1.720,59.124,0.629196
1.730,59.118,0.558463
1.740,59.375,0.589224
1.750,59.533,0.602491
1.760,59.745,0.542669
1.770,59.457,0.634053
1.780,59.292,0.704791
1.790,59.297,0.765134
1.800,59.379,0.747727
1.810,59.659,0.709873
1.820,59.722,0.682216
1.830,59.459,0.587816
1.840,59.653,0.689233
1.850,59.352,0.667681
1.860,59.259,0.585868
1.870,59.182,0.431168
1.880,58.939,0.308195
1.890,59.413,0.265883
1.900,58.871,0.365857
1.910,58.917,0.395273
1.920,58.833,0.499856
1.930,58.811,0.594274
1.940,58.946,0.661368
1.950,59.196,0.709666
1.960,59.410,0.741591
1.970,59.453,0.760624
1.980,59.327,0.671456
1.990,59.218,0.577083
2.000,58.956,0.360417
2.010,58.995,0.251667
2.020,59.811,0.126919
2.030,59.252,0.262692
2.040,305.160,0.081184
2.050,304.039,0.112708
2.060,304.590,0.135558
2.070,335.567,0.155987
2.080,332.181,0.132046
2.090,332.254,0.148376
2.100,295.429,0.129162
2.110,331.647,0.106837
2.120,331.431,0.153876
2.130,331.349,0.136757
2.140,330.971,0.118037
2.150,331.032,0.144228
2.160,326.831,0.078171
2.170,178.523,0.056525
2.180,58.799,0.079226
2.190,59.528,0.150771
2.200,59.614,0.549703
2.210,59.554,0.693825
2.220,59.865,0.642613
2.230,59.653,0.544099
2.240,59.499,0.612008
2.250,59.255,0.685391
2.260,59.373,0.673528
2.270,59.452,0.640347
2.280,59.506,0.606563
2.290,59.580,0.691325
2.300,59.402,0.609251
2.310,59.361,0.439349
2.320,59.507,0.269229
2.330,59.399,0.534234
2.340,59.383,0.292306
2.350,59.701,0.422787
